t,z_spreads,z_equities,z_liquidity,z_goldcurrency,z_roro
03apr2026,-.19780418,-.045251191,-.1782766,.31802252,-.0060042725
06apr2026,-1.0879819,-.035386872,-.13190293,.080186896,-.51141733
07apr2026,.51110965,.90244752,.29061803,-.77661061,.93441731
08apr2026,-1.9290522,-3.9031336,.10275811,-1.4310113,-4.4754496
09apr2026,-.38814706,-.36493784,-.17967489,-.74716902,-.49010357
10apr2026,-.13779151,-.39001232,.030569673,.21374406,-.35873982
13apr2026,.10016652,.017008811,-.12395886,.19003884,.12130217
14apr2026,-1.0677598,-1.2199538,.19421349,-2.0328236,-1.6912924
15apr2026,-.18967867,.028907621,-.0010490437,.5106107,.041627083
16apr2026,.3626188,.023635918,-.11399404,.082468979,.17419294
17apr2026,.088187538,-1.1143384,.0867939,-.81102204,-1.0648583
20apr2026,.025158431,.99178499,-.42815226,.23081116,.92066258
21apr2026,-.7852031,.80491984,.29753175,1.4737972,.59028953
22apr2026,-.24541934,-.11668301,.068281159,.09271834,-.08309935
23apr2026,.060256403,.18259902,-.085604683,.69775903,.27603176
24apr2026,.49336946,.039159946,.20299484,-.27398759,.27258754
27apr2026,-.20551115,-.0075852149,-.039201658,.05455064,-.062918954
28apr2026,-.026728733,.21246327,-.18602811,1.4009176,.31536901
29apr2026,-.42805523,.31018704,-.12459573,.85739368,.18494518
30apr2026,.26311648,-.98646426,.34522778,-1.7176658,-.89251351
01may2026,-.47994241,-.1204808,-.1630905,-.25698,-.33587325
04may2026,-.21707162,1.0271606,-.94051427,1.7483569,1.2010838
05may2026,-.67082351,-.70148981,.66030782,-.48937669,-1.0505159
06may2026,.084334061,-1.5667971,-.15383852,-2.020606,-1.6169922
07may2026,-.010896265,.33197233,-.050441679,.039881714,.36887982
08may2026,.096313037,.23241472,.095419057,-.26069215,.31401378
11may2026,-.39585403,.013493708,-.20937705,-.30161735,-.20605378
12may2026,.25540951,.52862966,.071805157,.92364722,.74318159
13may2026,-.14977202,-.61825001,.17424573,.43012279,-.56729251
14may2026,-.90534317,-.47265691,.10877282,.79181159,-.64383185
15may2026,.088604532,1.2045075,-.31129342,2.0239356,1.3109553
18may2026,-.015702995,-.053219631,-.047387309,-.54805684,-.024367686
19may2026,-.10654509,.079427712,.15106498,1.4527905,.19506854
20may2026,.38959321,-.80621678,.1357512,-.98785532,-.67801982
21may2026,-.14206353,-.31636837,-.59741265,.41220149,-.30997825
22may2026,-.46025646,-.49992916,.62430906,.36820596,-.5541051
25may2026,1.1191821,-.73103112,.00069424999,-.73195457,-.27173546
26may2026,-1.1298345,.22324802,.25976869,.66357797,-.14475535
27may2026,-.10986038,-.11338256,.26512197,.74042588,-.054358561
28may2026,.2905094,.0056634587,-.32870543,-.73831636,.10935558
29may2026,-.21321812,-.31454521,-.072014511,-.83576071,-.41640285
01jun2026,-.63862228,.5372448,-.41744128,.7045601,.323953
02jun2026,-.14591701,-.45818174,.13192119,-.02364086,-.4610385
03jun2026,.15205218,.35230237,.00069424999,.69704425,.45732239
04jun2026,.040572383,-.22583392,.00069424999,-.48000497,-.16534241
