Date,cot_source_report_date,Market_and_Exchange_Names,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Dealer_Net_All,Dealer_Net_Ratio_All,Asset_Mgr_Net_All,Asset_Mgr_Net_Ratio_All,Lev_Money_Net_All,Lev_Money_Net_Ratio_All,Other_Rept_Net_All,Other_Rept_Net_Ratio_All,NonRept_Net_All,NonRept_Net_Ratio_All,cot_age_days
2020-11-17,2020-11-17,BITCOIN - CHICAGO MERCANTILE EXCHANGE,11509.0,0.0,732.0,845.0,4.0,5305.0,8097.0,1933.0,1663.0,8399.0,10812.0,3110.0,697.0,-732.0,-0.06360239812320792,841.0,0.07307324702406812,-2792.0,-0.242592753497263,270.0,0.02345990094708489,2413.0,0.20966200364931792,0.0
2020-11-18,2020-11-17,BITCOIN - CHICAGO MERCANTILE EXCHANGE,11509.0,0.0,732.0,845.0,4.0,5305.0,8097.0,1933.0,1663.0,8399.0,10812.0,3110.0,697.0,-732.0,-0.06360239812320792,841.0,0.07307324702406812,-2792.0,-0.242592753497263,270.0,0.02345990094708489,2413.0,0.20966200364931792,1.0
2020-11-19,2020-11-17,BITCOIN - CHICAGO MERCANTILE EXCHANGE,11509.0,0.0,732.0,845.0,4.0,5305.0,8097.0,1933.0,1663.0,8399.0,10812.0,3110.0,697.0,-732.0,-0.06360239812320792,841.0,0.07307324702406812,-2792.0,-0.242592753497263,270.0,0.02345990094708489,2413.0,0.20966200364931792,2.0
2020-11-20,2020-11-17,BITCOIN - CHICAGO MERCANTILE EXCHANGE,11509.0,0.0,732.0,845.0,4.0,5305.0,8097.0,1933.0,1663.0,8399.0,10812.0,3110.0,697.0,-732.0,-0.06360239812320792,841.0,0.07307324702406812,-2792.0,-0.242592753497263,270.0,0.02345990094708489,2413.0,0.20966200364931792,3.0
2020-11-21,2020-11-17,BITCOIN - CHICAGO MERCANTILE EXCHANGE,11509.0,0.0,732.0,845.0,4.0,5305.0,8097.0,1933.0,1663.0,8399.0,10812.0,3110.0,697.0,-732.0,-0.06360239812320792,841.0,0.07307324702406812,-2792.0,-0.242592753497263,270.0,0.02345990094708489,2413.0,0.20966200364931792,4.0
2020-11-22,2020-11-17,BITCOIN - CHICAGO MERCANTILE EXCHANGE,11509.0,0.0,732.0,845.0,4.0,5305.0,8097.0,1933.0,1663.0,8399.0,10812.0,3110.0,697.0,-732.0,-0.06360239812320792,841.0,0.07307324702406812,-2792.0,-0.242592753497263,270.0,0.02345990094708489,2413.0,0.20966200364931792,5.0
2020-11-23,2020-11-17,BITCOIN - CHICAGO MERCANTILE EXCHANGE,11509.0,0.0,732.0,845.0,4.0,5305.0,8097.0,1933.0,1663.0,8399.0,10812.0,3110.0,697.0,-732.0,-0.06360239812320792,841.0,0.07307324702406812,-2792.0,-0.242592753497263,270.0,0.02345990094708489,2413.0,0.20966200364931792,6.0
2020-11-24,2020-11-24,BITCOIN - CHICAGO MERCANTILE EXCHANGE,12336.0,0.0,643.0,668.0,0.0,5441.0,9864.0,2381.0,300.0,9232.0,11549.0,3104.0,787.0,-643.0,-0.052123865110246435,668.0,0.05415045395590143,-4423.0,-0.35854409857328146,2081.0,0.16869325551232167,2317.0,0.1878242542153048,0.0
2020-11-25,2020-11-24,BITCOIN - CHICAGO MERCANTILE EXCHANGE,12336.0,0.0,643.0,668.0,0.0,5441.0,9864.0,2381.0,300.0,9232.0,11549.0,3104.0,787.0,-643.0,-0.052123865110246435,668.0,0.05415045395590143,-4423.0,-0.35854409857328146,2081.0,0.16869325551232167,2317.0,0.1878242542153048,1.0
2020-11-26,2020-11-24,BITCOIN - CHICAGO MERCANTILE EXCHANGE,12336.0,0.0,643.0,668.0,0.0,5441.0,9864.0,2381.0,300.0,9232.0,11549.0,3104.0,787.0,-643.0,-0.052123865110246435,668.0,0.05415045395590143,-4423.0,-0.35854409857328146,2081.0,0.16869325551232167,2317.0,0.1878242542153048,2.0
