bucket_family,bucket,transition_type,rank_reason,run_seed,sample_index,Date_stage2,future_return_stage2,prob_up_stage2,prob_up_stage4,prob_up_delta,pred_class_stage2,pred_class_stage4,correct_stage2,correct_stage4,context__funding_rate_mean_20_normalized,context__funding_rate_max_7_normalized,context__cot_open_interest_change_20_normalized,context__cot_open_interest_zscore_60_normalized,context__cot_lev_money_net_ratio_normalized
cftc_oi_change_20_high20,yes,correction,largest_abs_prob_up_delta,43,2226,2024-06-02T00:00:00,-0.0517020206260903,0.5061460733413696,0.4814895987510681,-0.024656474590301514,1,0,False,True,0.199665912426542,-0.4350347985275246,3.3873391643454656,0.844477829060228,-2.0155994202039813
cftc_oi_change_20_high20,yes,correction,largest_abs_prob_up_delta,43,1217,2021-08-28T00:00:00,-0.032628256061159,0.5143421292304993,0.4931187629699707,-0.021223366260528564,1,0,False,True,0.1189420799295583,-0.5081047145983825,3.3873391643454656,0.4832669882551849,-2.301353767431728
cftc_oi_change_20_high20,yes,correction,largest_abs_prob_up_delta,43,1488,2022-05-26T00:00:00,-0.2266206870572763,0.513679027557373,0.4957461059093475,-0.017932921648025568,1,0,False,True,-0.5726941057693062,-0.5081047145983825,3.3873391643454656,0.1284446212530257,-2.463738670193471
cftc_oi_change_20_high20,yes,regression,largest_abs_prob_up_delta,43,2373,2024-10-27T00:00:00,0.331735607901596,0.5227682590484619,0.4930072724819183,-0.029760986566543635,1,0,True,False,0.207381223431395,-0.5081047145983825,3.3873391643454656,0.0371902216544903,-2.463738670193471
cftc_oi_change_20_high20,yes,regression,largest_abs_prob_up_delta,43,2379,2024-11-02T00:00:00,0.4254756125932868,0.5024659037590027,0.4733363687992096,-0.02912953495979309,1,0,True,False,0.3006663473990794,-0.1681059214523502,3.3873391643454656,1.3171953729491768,-1.698739224182915
cftc_oi_change_20_high20,yes,regression,largest_abs_prob_up_delta,43,2375,2024-10-29T00:00:00,0.2437246705295641,0.5071623921394348,0.4798804223537445,-0.027281969785690308,1,0,True,False,0.2145864312293095,-0.5081047145983825,3.3873391643454656,0.1200890844950297,-2.463738670193471
cftc_oi_change_20_high20,yes,regression,largest_abs_prob_up_delta,43,1544,2022-07-21T00:00:00,0.034634304573347,0.5208138227462769,0.4956963956356048,-0.025117427110672053,1,0,True,False,-0.0018886172124607,-0.5081047145983825,3.3873391643454656,0.2945971029149757,-2.231057411053561
cftc_oi_change_20_high20,yes,regression,largest_abs_prob_up_delta,43,2404,2024-11-27T00:00:00,0.1071385019743258,0.5037149786949158,0.4830676615238189,-0.020647317171096857,1,0,True,False,0.5369716580102868,0.0794370595223924,3.3873391643454656,1.0194098454839415,-1.281820192968358
cftc_oi_change_20_low20,yes,correction,largest_abs_prob_up_delta,43,2171,2024-04-08T00:00:00,-0.1187012007819044,0.5031680464744568,0.4779429733753204,-0.025225073099136408,1,0,False,True,0.7294080928253545,0.596891363126222,-2.759836687106325,-0.8581663059975484,-1.664931803876669
cftc_oi_change_20_low20,yes,correction,largest_abs_prob_up_delta,43,2185,2024-04-22T00:00:00,-0.0798471160736147,0.5063430070877075,0.4848828613758087,-0.021460145711898804,1,0,False,True,0.0544777871535387,-0.5081047145983825,-2.759836687106325,-0.8888187563726492,-2.1118364315496017
