date,news_count,unique_source_count,sources,headline_text_chars,headline_text_hash
2014-02-06,2,2,ACCESSWIRE | Yahoo Tech,170,6176030a1f47c7e5
2014-02-07,4,4,Business Insider | CNBC | Entrepreneur | Marketwired,261,5949e8a3f94b68fe
2014-02-09,1,1,Reuters,39,13f86e8555c90b2d
2014-02-10,5,5,Business Insider | Engadget | Marketwired | Reuters | Yahoo Tech,449,defc66cdc5654710
2014-02-11,2,2,Business Insider | Reuters,132,1bcf7b6f411537fc
2014-02-12,3,3,Associated Press | Entrepreneur | Reuters,188,23f6c5f0d7b39aa2
2014-02-13,5,4,ACCESSWIRE | Business Insider | Marketwired | The Atlantic,481,b801fe639bb45836
2014-02-14,2,2,Money Talks News | The Fiscal Times,104,d924fd4c6e4ef5d5
2014-02-16,1,1,ACCESSWIRE,69,6404506ddca67f2a
2014-02-17,2,2,ACCESSWIRE | Business Insider,137,eac68932b6ebfa9e
2014-02-19,3,3,ACCESSWIRE | Associated Press | StreetAuthority Network,216,50c3d0f84b0c8a8b
2014-02-20,6,6,ACCESSWIRE | Benzinga | Business Insider | CNBC | ETF Trends | StreetAuthority Network,414,6d4697c736072d9d
2014-02-24,6,3,Business Insider | Marketwired | Reuters,443,dd44119ac9e7c3aa
2014-02-25,9,6,24/7 Wall St. | Business Insider | CNBC | Engadget | Marketwired | Reuters,691,81c983f8ea92706d
2014-02-26,6,3,Benzinga | Reuters | The Atlantic,437,e2785f0d00db24e1
2014-02-27,1,1,The Fiscal Times,43,8dd304486c79ab7d
2014-02-28,3,2,Business Insider | Reuters,162,7c7b53dcf7630a18
2014-03-02,1,1,Manilla.com,54,0dc915145e784b1d
2014-03-03,4,4,Associated Press | Business Insider | CNBC | Entrepreneur,203,b7029273e6be7197
2014-03-04,5,3,Marketwired | Reuters | The Atlantic,324,45ff9de2ad1fa7a8
2014-03-05,7,6,Associated Press | CNBC | Entrepreneur | Marketwired | Reuters | Yahoo Tech,445,ba1ac31e679a8be0
2014-03-06,4,4,BGR News | Engadget | Marketwired | Reuters,315,4dc96468d5cf8ace
2014-03-07,3,3,Marketwired | Reuters | Yahoo Tech,239,77497f3156c0493a
2014-03-10,2,2,ACCESSWIRE | Business Insider,142,733a8e3dec938cfa
2014-03-11,2,1,Reuters,88,8490103abab2f3a6
2014-03-12,1,1,Business Insider,71,0646b1e9ef87044c
2014-03-13,1,1,Marketwired,132,e531a315a6c0b4ed
2014-03-14,3,2,ACCESSWIRE | Yahoo Tech,253,5e2a3e3b9147c7f7
2014-03-17,2,2,Engadget | Marketwired,142,f52d378fdfb58ef2
2014-03-18,2,1,Business Insider,159,7b743505faac98e8
2014-03-19,2,2,Business Insider | Zacks,130,7cb62f46beb81907
2014-03-20,4,4,ACCESSWIRE | Benzinga | CNBC | Reuters,271,09085b486034c8f6
2014-03-21,3,3,Benzinga | Engadget | Entrepreneur,206,65b3752368db560e
2014-03-25,1,1,Reuters,61,91b6319176056a73
2014-03-26,3,2,Marketwired | The Atlantic,224,5c24a6870eb80445
2014-03-27,2,1,Marketwired,156,033f00c01e9042af
2014-03-31,2,2,ACCESSWIRE | Benzinga,134,a3b4466c309405df
2014-04-01,4,4,ACCESSWIRE | Business Insider | Engadget | Reuters,302,a9c35ec8729074c0
2014-04-02,2,2,24/7 Wall St. | Marketwired,192,2e2cfb96c412afbe
2014-04-03,2,1,Marketwired,178,0bbe7283e05a8f41
2014-04-07,3,2,Business Insider | Marketwired,238,f006e0a8b8b34af1
2014-04-08,2,2,ACCESSWIRE | Benzinga,151,e35163c8d0c2e0c8
2014-04-09,1,1,Zacks,42,9efb916f5e61da4e
2014-04-10,1,1,Yahoo Finance,67,90ecfbfab4c88702
2014-04-14,3,2,Marketwired | Reuters,253,e4af203d7bc25599
2014-04-15,2,2,CNBC | Engadget,90,a2c885b3be25ef26
2014-04-16,1,1,Marketwired,78,b483a7b33f138781
2014-04-17,4,4,ACCESSWIRE | BGR News | Business Insider | Marketwired,437,381ae6c389ae9c11
2014-04-18,2,2,Credit.com | The Atlantic,116,e9b763ccd7201cb4
2014-04-22,1,1,Engadget,59,a47af802849f45da
2014-04-23,1,1,Benzinga,79,9c6de62ddbd3b12e
2014-04-24,1,1,ACCESSWIRE,88,7e8d94d0c63839eb
2014-04-25,2,2,Marketwired | Money Talks News,152,d27ebb0f2b6b8f2a
2014-04-29,1,1,Reuters,64,18433fcf7357c0f6
2014-04-30,1,1,Marketwired,70,769fe8e46e4da332
2014-05-01,2,1,Marketwired,161,6dd8fb62d3cbdb54
2014-05-05,1,1,Benzinga,37,42e50f4630a63105
2014-05-06,2,2,ACCESSWIRE | Entrepreneur,144,88e7206d55208305
2014-05-08,2,2,Benzinga | Marketwired,75,e29fb1da7deac43d
2014-05-09,2,2,ETF Trends | The Atlantic,83,c78306a68fcf5193
2014-05-13,1,1,Entrepreneur,85,bf73736ad9055094
2014-05-14,1,1,Marketwired,75,2501dfbea9236c8a
2014-05-16,4,2,Entrepreneur | Reuters,262,8e1b2c550b7ea156
2014-05-21,1,1,ACCESSWIRE,102,85a9b0b63922bc40
2014-05-22,1,1,ACCESSWIRE,72,a4130f1e6869b073
2014-05-23,1,1,Marketwired,22,180578f31fd387b4
2014-05-28,1,1,Marketwired,65,540f9c762c861f4d
2014-05-29,3,3,Benzinga | Business Insider | Marketwired,152,ceb411d6a900fe75
2014-06-01,1,1,Business Insider,97,7ecc31c704b92996
2014-06-02,2,2,ACCESSWIRE | Yahoo News,154,927c80019ebf6869
2014-06-03,2,2,CNBC | Entrepreneur,98,20ba60d618bd42c5
2014-06-04,3,2,Benzinga | Entrepreneur,182,ce2883b807121a26
2014-06-06,2,2,ACCESSWIRE | Benzinga,186,b94a414bf2edc96c
2014-06-09,1,1,Benzinga,27,2e81f4f83ff64569
2014-06-10,1,1,Benzinga,78,bc527b6920829a19
2014-06-11,2,2,Benzinga | Entrepreneur,83,e0389e62006b8575
2014-06-12,3,2,ACCESSWIRE | Marketwired,390,de173f0da027fc2a
2014-06-13,2,2,Benzinga | The Atlantic,126,516903e7398f5763
2014-06-14,1,1,Benzinga,44,e41bcd212dc721b6
2014-06-16,2,2,Benzinga | Zacks,115,25d61f5ecf1b67d5
2014-06-17,1,1,Yahoo Tech,32,1d9f6545c08c77c2
2014-06-18,1,1,Yahoo Tech,45,73652f70d4e3c65c
2014-06-19,1,1,Marketwired,49,8a0750f6687c2cbb
2014-06-20,1,1,Benzinga,79,a6e1a95c434ecfdd
2014-06-21,2,2,ACCESSWIRE | Marketwired,154,16acdb47e3e4db93
2014-06-23,3,2,Benzinga | Marketwired,303,301805e268a17f41
2014-06-24,1,1,Marketwired,205,31a728c7a4beaa04
2014-06-25,2,2,Benzinga | Yahoo Tech,120,1d64aad9fb890fb3
2014-06-26,1,1,ETF Trends,39,3a5fec6b8f5e465d
2014-06-27,3,3,ACCESSWIRE | Benzinga | Engadget,227,e797b90c1acaa9ed
2014-06-28,1,1,ACCESSWIRE,89,7b6c3832472adad6
2014-06-30,1,1,Benzinga,49,61d37b0623a4314f
2014-07-01,2,2,Marketwired | Reuters,120,94cf9df52b106072
2014-07-02,4,4,Benzinga | Gigaom | Marketwired | Zacks,357,57ba73358966b036
2014-07-03,1,1,Yahoo Tech,76,24d374519be4024f
2014-07-05,1,1,Benzinga,77,34f7c5102b3330a4
2014-07-07,2,2,ACCESSWIRE | Benzinga,130,bccc402e28a4ab2e
2014-07-09,2,2,Benzinga | Marketwired,116,aef821cba2eb4697
2014-07-10,1,1,ETF Trends,54,ab058ab0bd2d7f82
2014-07-11,1,1,Benzinga,53,6ff97087b752d5b8
2014-07-15,2,2,Benzinga | Marketwired,123,028d32333398a796
2014-07-16,2,1,Benzinga,130,5f736c206f3409a8
2014-07-18,1,1,ACCESSWIRE,52,1e21de74c52ff763
2014-07-21,1,1,ACCESSWIRE,111,af6951dffa595bb7
2014-07-23,1,1,Marketwired,75,edcae83ec09f6a3c
2014-07-25,1,1,Marketwired,51,937bcba105513bd5
2014-07-28,3,3,ACCESSWIRE | Benzinga | Entrepreneur,275,efc8f96acdde9216
2014-08-01,1,1,Benzinga,78,47130c1874377c85
2014-08-05,1,1,Benzinga,58,f61688620fb13a4c
2014-08-06,1,1,Benzinga,47,f8667d03ee634ec9
2014-08-11,3,3,ACCESSWIRE | Benzinga | Credit.com,109,865c8840ce3437ec
2014-08-12,2,2,ACCESSWIRE | The Fiscal Times,150,b8992d40cf5c7c5b
2014-08-13,1,1,Benzinga,29,0351e72c0c1c6982
2014-08-17,1,1,Benzinga,68,b56b7e78a6d27dcd
2014-08-18,1,1,ACCESSWIRE,88,ee6d79b9edf0a2f2
2014-08-19,1,1,CNBC,37,0975763e2d2c4eb6
2014-08-20,2,2,Benzinga | The Fiscal Times,117,b55f6e4d494ba7b8
2014-08-21,2,2,ACCESSWIRE | Marketwired,141,34e62524165c4876
2014-08-22,1,1,Benzinga,87,de9572073b2ede27
2014-08-28,1,1,Reuters,69,74ca3555dcb742ee
2014-08-29,1,1,Gigaom,82,c9c56a18fa5cc5ce
2014-08-30,1,1,Reuters,76,f8ce7dced0004905
2014-09-01,1,1,Gigaom,89,50fd3d0e83f550b8
2014-09-02,1,1,Engadget,70,e7e4ddb17da0167e
2014-09-04,1,1,Reuters,60,abcf34cb8edc5fd4
2014-09-08,2,1,Marketwired,199,ec3fa78427971306
2014-09-09,1,1,CNBC,48,9b68b96ce723ce2a
2014-09-10,1,1,Marketwired,48,0820dbc422656cb4
2014-09-11,4,4,Business Insider | CNBC | Reuters | Zacks,250,fdc72155fa35815e
2014-09-12,2,1,Marketwired,180,065af31325b065db
2014-09-16,1,1,Marketwired,54,429cdd925e66c238
2014-09-17,2,1,Marketwired,189,e8b2f75e00f79a08
2014-09-18,1,1,ACCESSWIRE,89,ebd4833edc209127
2014-09-19,1,1,CNBC,35,896ff5e58a54402d
2014-09-22,1,1,U.S.News & World Report,34,b8b60675ca80de10
2014-09-23,2,2,ACCESSWIRE | Entrepreneur,159,1501e2cfc263f722
2014-09-24,1,1,Yahoo Finance,65,996d60f31a81f50c
2014-09-26,2,2,Benzinga | Entrepreneur,140,9c1f9ddbb64b53e6
2014-09-27,1,1,ACCESSWIRE,85,64d629d92fbbf511
2014-09-30,1,1,Marketwired,79,228c1bcd2f6075b9
2014-10-02,1,1,Marketwired,54,e9d01108238f2e9b
2014-10-03,2,2,Entrepreneur | Marketwired,137,e22717906985e20e
2014-10-06,1,1,CNBC,43,39f862dd4c2d11b3
2014-10-07,2,2,Benzinga | Entrepreneur,173,d920e9f919925cc3
2014-10-08,1,1,Marketwired,120,7a3c2aa82d8b676e
2014-10-09,1,1,ACCESSWIRE,56,6784d409941efbb7
2014-10-10,1,1,ACCESSWIRE,67,33b7ec397d3076a5
2014-10-14,1,1,Marketwired,98,26d7c9348df24658
2014-10-15,1,1,Marketwired,56,a525f82bd528d1f0
2014-10-20,3,1,Marketwired,276,525d7081eabddd34
2014-10-21,1,1,Marketwired,40,99f6923751a18498
2014-10-22,5,4,ACCESSWIRE | ETF Trends | Engadget | Marketwired,337,3d0c81c29c5e0ad3
2014-10-23,1,1,Marketwired,61,e2754abd23e7cd83
2014-10-27,2,2,ACCESSWIRE | Marketwired,156,eeee67234a1cc466
2014-10-28,4,3,ACCESSWIRE | Benzinga | Marketwired,266,6c30a834c24c33bc
2014-10-29,2,1,Marketwired,192,1a0e20c34ae0fe06
2014-10-30,1,1,ACCESSWIRE,103,89935bcde3bad725
2014-11-04,2,2,ETF Trends | Engadget,134,67f31cfbcddf48d6
2014-11-05,1,1,ACCESSWIRE,75,ab9582100da3fd54
2014-11-06,2,2,Benzinga | Marketwired,109,98f87a59b426ee4f
2014-11-08,1,1,Marketwired,51,45ecac604baa9861
2014-11-10,1,1,Marketwired,108,e66e1899419d86c4
2014-11-11,1,1,ACCESSWIRE,73,630a96ecbd62acd4
2014-11-12,1,1,Marketwired,34,968f7593dcce02f6
2014-11-13,1,1,ACCESSWIRE,132,3d214ae9c59ac837
2014-11-17,1,1,Engadget,62,ed7c4ad7476f8be9
2014-11-19,1,1,ACCESSWIRE,93,001ca3b41bc37ac4
2014-11-20,3,3,ACCESSWIRE | Entrepreneur | Marketwired,290,db3fe31e1edd1eef
2014-11-21,1,1,ACCESSWIRE,101,401174230e8560f3
2014-11-26,2,2,ACCESSWIRE | Reuters,134,2b62114b98ea5711
2014-12-03,1,1,Benzinga,65,1e098ed9c7ad30a9
2014-12-05,1,1,Marketwired,128,98967d03fa018014
2014-12-08,1,1,Reuters,56,025494f971ea2a60
2014-12-09,1,1,Marketwired,61,6ba6b2abee3333db
2014-12-10,2,2,ACCESSWIRE | Marketwired,171,ac45379e8a8892cc
2014-12-11,1,1,Marketwired,81,9be06fa6dc895bca
2014-12-15,2,2,ACCESSWIRE | CNBC,144,ceb9e61a262b35ee
2014-12-16,1,1,Yahoo Finance,40,80134d0f33f4b520
2014-12-19,1,1,Reuters,58,713fc776d54d8ace
2014-12-21,1,1,Engadget,70,5553da84ef3e5651
2014-12-22,1,1,Business Insider,66,f81b265ec6219384
2014-12-23,3,3,ACCESSWIRE | Marketwired | Yahoo Finance,235,314b97abd2684792
2014-12-24,2,1,ACCESSWIRE,234,e8a37d4a827d8f3d
2014-12-29,1,1,Marketwired,61,0ad2d677116a27eb
2014-12-31,1,1,Gigaom,64,0979b7226d39bb33
2015-01-02,2,2,Benzinga | Business Insider,133,af9d0457a396e3c9
2015-01-04,1,1,Business Insider,47,194c2f7fee53933f
2015-01-05,1,1,ACCESSWIRE,85,0f8864e45a868ab4
2015-01-06,2,2,Engadget | Reuters,123,fb627968359bbdfe
2015-01-07,2,2,Business Insider | Reuters,159,a45800fa10c63114
2015-01-08,1,1,ACCESSWIRE,115,1232ee8ea3d23b4d
2015-01-09,2,2,ACCESSWIRE | Reuters,176,d02235990730d0e3
2015-01-12,1,1,ACCESSWIRE,113,07c74a09ad1d0d4e
2015-01-14,3,3,Benzinga | CNBC | Entrepreneur,155,6c62c67404d363a6
2015-01-16,1,1,Business Insider,62,31b8c21a2cac2df5
2015-01-17,1,1,The Atlantic,43,fea47e8731b7bd30
2015-01-18,1,1,Business Insider,66,1c716d53a6a5cc5d
2015-01-19,2,1,ACCESSWIRE,239,04fbf4c3e2b45a3c
2015-01-20,4,3,Business Insider | Entrepreneur | Reuters,291,5a9c7813925c6bb6
2015-01-21,1,1,U.S.News & World Report,38,1c14eeb5953ef68c
2015-01-22,1,1,ACCESSWIRE,65,0727b494e70b2410
2015-01-23,2,2,Benzinga | Reuters,122,a02234162652116e
2015-01-26,2,2,Benzinga | Entrepreneur,98,bc61eee93f2747f6
2015-01-28,2,1,Marketwired,256,41fe01a046968abd
2015-01-29,2,2,Benzinga | Yahoo Finance,133,3fe1de586960b887
2015-01-30,1,1,ACCESSWIRE,118,acd6fe79ec2b32cf
2015-01-31,1,1,Marketwired,70,2c6deb096b43dd21
2015-02-03,2,2,ACCESSWIRE | Marketwired,155,9a53c77d13a948eb
2015-02-04,1,1,Benzinga,27,213cd86ca1abe807
2015-02-06,1,1,Benzinga,37,a7f0abea550bff6c
2015-02-10,1,1,Entrepreneur,93,1a9c48439e872e79
2015-02-11,2,2,ACCESSWIRE | Benzinga,166,338f8448ab3c9d24
2015-02-12,2,2,ACCESSWIRE | Benzinga,161,c9c9d72047cbcc2d
2015-02-13,1,1,Benzinga,38,f0c9b5ef65bd18cd
2015-02-16,1,1,Entrepreneur,86,012b6697f24b6671
2015-02-17,1,1,Benzinga,47,5e9684f476db9072
2015-02-18,2,2,ACCESSWIRE | Benzinga,173,fd59d5198d56b996
2015-02-19,2,2,ACCESSWIRE | Benzinga,96,50a46d21e8e2737f
2015-02-20,2,2,Benzinga | Entrepreneur,135,734f99fe3b702b35
2015-02-23,1,1,Benzinga,44,88439429762f5de9
2015-02-24,2,1,ACCESSWIRE,287,91b3dde5ea557a9e
2015-02-25,2,2,Benzinga | Entrepreneur,98,ffa688132aeb71de
2015-02-26,2,2,ACCESSWIRE | Benzinga,76,3e473fa3c8ca41e1
2015-02-27,1,1,Benzinga,34,c8022450f95b9e76
2015-02-28,1,1,ACCESSWIRE,77,0d227f482c837374
2015-03-02,4,4,Benzinga | Business Insider | Marketwired | Yahoo Finance,230,6103bfb8e216a979
2015-03-04,1,1,CNBC,48,680b30cfa2a8f9d3
2015-03-06,1,1,ACCESSWIRE,118,a5981306050e2dfb
2015-03-09,1,1,Benzinga,76,3970d50700cc76d2
2015-03-10,1,1,Benzinga,41,264e7a552f9e78ec
2015-03-11,2,2,Benzinga | Reuters,132,7dc1f41c8ae337d5
2015-03-12,2,2,Benzinga | CNBC,125,79c7579116b9510c
2015-03-13,1,1,Benzinga,46,90165ad091e7fa34
2015-03-15,1,1,Yahoo Tech,67,224d25ef371d99ce
2015-03-16,3,3,ACCESSWIRE | Marketwired | Zacks,312,ac97386790eaa97b
2015-03-17,2,2,ACCESSWIRE | Benzinga,215,2d71527ed619cd98
2015-03-18,1,1,Benzinga,59,5f5b550341ec90c6
2015-03-19,1,1,Benzinga,48,730e7332558805b0
2015-03-25,3,2,Benzinga | Marketwired,255,fd213d7e3657f945
2015-03-26,3,1,Marketwired,302,6fd69a178156f73c
2015-03-27,1,1,Benzinga,37,cb4927e55819f4d5
2015-03-30,2,2,ACCESSWIRE | The Fiscal Times,198,62682699dcb996b5
2015-04-01,1,1,ACCESSWIRE,98,e2390a19798a7e62
2015-04-02,1,1,Benzinga,50,e8e4ee376e1a8d65
2015-04-07,2,2,CNBC | Marketwired,142,27a4c3f35518d994
2015-04-09,1,1,Benzinga,46,6bea6443e52cd781
2015-04-10,1,1,Entrepreneur,63,21bb159fd0830080
2015-04-13,1,1,Benzinga,32,073caeef800f250c
2015-04-15,2,2,ACCESSWIRE | Benzinga,135,ab1ccfa2b8ef5302
2015-04-16,1,1,Benzinga,43,8cb591421c19dade
2015-04-17,1,1,ACCESSWIRE,126,26c4d11a04480735
2015-04-20,1,1,ACCESSWIRE,118,4d2c34f6c578c142
