analysis_group,run_seed,sample_index,Date,label,future_return,prob_up_stage2,prob_up_stage4,prob_up_delta_stage4_minus_stage2,stage2_true_prob,stage4_true_prob,true_prob_delta_stage4_minus_stage2,transition,funding_rate_mean_20_normalized,funding_rate_max_7_normalized,cot_open_interest_normalized,cot_lev_money_net_ratio_normalized,cot_open_interest_change_20_normalized
extreme_high_funding_20d,45,1031,2021-02-23T00:00:00,1,0.1373299789327278,0.588871419429779,0.5652931928634644,-0.0235782265663146,0.588871419429779,0.5652931928634644,-0.0235782265663146,both_correct,2.692030181496206,2.256622313878564,2.00149065289705,-2.396257284145168,0.3186096187292125
extreme_high_funding_20d,45,1032,2021-02-24T00:00:00,1,0.1454328229614987,0.6305662393569946,0.608604371547699,-0.0219618678092956,0.6305662393569946,0.608604371547699,-0.0219618678092956,both_correct,2.657725740830016,2.256622313878564,2.00149065289705,-2.396257284145168,0.3186096187292125
extreme_high_funding_20d,46,1031,2021-02-23T00:00:00,1,0.1373299789327278,0.3382158875465393,0.3283498287200928,-0.0098660588264465,0.3382158875465393,0.3283498287200928,-0.0098660588264465,both_wrong,2.692030181496206,2.256622313878564,2.00149065289705,-2.396257284145168,0.3186096187292125
extreme_high_funding_20d,46,1032,2021-02-24T00:00:00,1,0.1454328229614987,0.5359556674957275,0.526149332523346,-0.0098063349723815,0.5359556674957275,0.526149332523346,-0.0098063349723815,both_correct,2.657725740830016,2.256622313878564,2.00149065289705,-2.396257284145168,0.3186096187292125
extreme_low_funding_20d,42,1674,2022-11-28T00:00:00,1,0.0324001058415792,0.8070613741874695,0.8026002645492554,-0.0044611096382141,0.8070613741874695,0.8026002645492554,-0.0044611096382141,both_correct,-1.1476441828825503,-0.5081047145983825,2.556624089605518,0.8992973065540213,3.3873391643454656
extreme_low_funding_20d,42,1675,2022-11-29T00:00:00,0,-0.0002219853027483,0.7083216905593872,0.7022719383239746,-0.0060497522354125,0.2916783094406128,0.2977280616760254,0.0060497522354125,both_wrong,-1.135720520420515,-0.5081047145983825,2.556624089605518,0.8992973065540213,3.3873391643454656
extreme_low_funding_20d,43,1674,2022-11-28T00:00:00,1,0.0324001058415792,0.3158864676952362,0.3004520237445831,-0.0154344439506531,0.3158864676952362,0.3004520237445831,-0.0154344439506531,both_wrong,-1.1476441828825503,-0.5081047145983825,2.556624089605518,0.8992973065540213,3.3873391643454656
extreme_low_funding_20d,43,1675,2022-11-29T00:00:00,0,-0.0002219853027483,0.2513302266597748,0.2383607178926468,-0.0129695087671279,0.7486697435379028,0.7616392374038696,0.0129694938659667,both_correct,-1.135720520420515,-0.5081047145983825,2.556624089605518,0.8992973065540213,3.3873391643454656
extreme_low_funding_20d,44,1674,2022-11-28T00:00:00,1,0.0324001058415792,0.7338199019432068,0.7330353260040283,-0.0007845759391784,0.7338199019432068,0.7330353260040283,-0.0007845759391784,both_correct,-1.1476441828825503,-0.5081047145983825,2.556624089605518,0.8992973065540213,3.3873391643454656
extreme_low_funding_20d,44,1675,2022-11-29T00:00:00,0,-0.0002219853027483,0.4369396865367889,0.4357763230800628,-0.001163363456726,0.5630603432655334,0.5642237067222595,0.001163363456726,both_correct,-1.135720520420515,-0.5081047145983825,2.556624089605518,0.8992973065540213,3.3873391643454656
extreme_low_funding_20d,45,1674,2022-11-28T00:00:00,1,0.0324001058415792,0.5741667151451111,0.5689535737037659,-0.0052131414413452,0.5741667151451111,0.5689535737037659,-0.0052131414413452,both_correct,-1.1476441828825503,-0.5081047145983825,2.556624089605518,0.8992973065540213,3.3873391643454656
extreme_low_funding_20d,45,1675,2022-11-29T00:00:00,0,-0.0002219853027483,0.5414198637008667,0.5361508131027222,-0.0052690505981445,0.4585801362991333,0.4638491570949554,0.005269020795822,both_wrong,-1.135720520420515,-0.5081047145983825,2.556624089605518,0.8992973065540213,3.3873391643454656
extreme_low_funding_20d,46,1674,2022-11-28T00:00:00,1,0.0324001058415792,0.6502190232276917,0.6597943902015686,0.0095753669738769,0.6502190232276917,0.6597943902015686,0.0095753669738769,both_correct,-1.1476441828825503,-0.5081047145983825,2.556624089605518,0.8992973065540213,3.3873391643454656
extreme_low_funding_20d,46,1675,2022-11-29T00:00:00,0,-0.0002219853027483,0.3202230930328369,0.329790323972702,0.0095672309398651,0.6797769069671631,0.6702097058296204,-0.0095672011375427,both_correct,-1.135720520420515,-0.5081047145983825,2.556624089605518,0.8992973065540213,3.3873391643454656
extreme_high_cftc_oi,42,1111,2021-05-14T00:00:00,0,-0.212567250752135,0.6968056559562683,0.6869679093360901,-0.0098377466201782,0.3031943738460541,0.3130320608615875,0.0098376870155334,both_wrong,0.3489348633549696,0.2583837927571462,2.556624089605518,-1.530475277107719,3.2674991216410163
extreme_high_cftc_oi,42,1112,2021-05-15T00:00:00,0,-0.2124327379408374,0.5308194756507874,0.5185804963111877,-0.0122389793395996,0.4691804945468902,0.4814195036888122,0.0122390091419219,both_wrong,0.3489348633549695,0.2583837927571462,2.556624089605518,-1.530475277107719,3.2674991216410163
extreme_high_cftc_oi,43,1111,2021-05-14T00:00:00,0,-0.212567250752135,0.6671168804168701,0.6466243863105774,-0.0204924941062927,0.3328831195831299,0.353375643491745,0.0204925239086151,both_wrong,0.3489348633549696,0.2583837927571462,2.556624089605518,-1.530475277107719,3.2674991216410163
extreme_high_cftc_oi,43,1112,2021-05-15T00:00:00,0,-0.2124327379408374,0.3606045544147491,0.3400498926639557,-0.0205546617507934,0.6393954157829285,0.6599501371383667,0.0205547213554382,both_correct,0.3489348633549695,0.2583837927571462,2.556624089605518,-1.530475277107719,3.2674991216410163
extreme_high_cftc_oi,44,1111,2021-05-14T00:00:00,0,-0.212567250752135,0.5181660056114197,0.5163968801498413,-0.0017691254615783,0.4818339645862579,0.4836030900478363,0.0017691254615784,both_wrong,0.3489348633549696,0.2583837927571462,2.556624089605518,-1.530475277107719,3.2674991216410163
extreme_high_cftc_oi,44,1112,2021-05-15T00:00:00,0,-0.2124327379408374,0.5156338810920715,0.5138207674026489,-0.0018131136894226,0.4843661785125732,0.4861792027950287,0.0018130242824554,both_wrong,0.3489348633549695,0.2583837927571462,2.556624089605518,-1.530475277107719,3.2674991216410163
extreme_high_cftc_oi,45,1111,2021-05-14T00:00:00,0,-0.212567250752135,0.5848175883293152,0.573945939540863,-0.0108716487884521,0.4151824712753296,0.4260540902614593,0.0108716189861297,both_wrong,0.3489348633549696,0.2583837927571462,2.556624089605518,-1.530475277107719,3.2674991216410163
extreme_high_cftc_oi,45,1112,2021-05-15T00:00:00,0,-0.2124327379408374,0.6082592606544495,0.5977487564086914,-0.010510504245758,0.3917407393455505,0.4022512435913086,0.0105105042457581,both_wrong,0.3489348633549695,0.2583837927571462,2.556624089605518,-1.530475277107719,3.2674991216410163
extreme_high_cftc_oi,46,1111,2021-05-14T00:00:00,0,-0.212567250752135,0.5772600173950195,0.5795315504074097,0.0022715330123901,0.4227399826049804,0.4204684793949127,-0.0022715032100676,both_wrong,0.3489348633549696,0.2583837927571462,2.556624089605518,-1.530475277107719,3.2674991216410163
extreme_high_cftc_oi,46,1112,2021-05-15T00:00:00,0,-0.2124327379408374,0.5944382548332214,0.5965884923934937,0.0021502375602722,0.4055617153644562,0.4034114778041839,-0.0021502375602722,both_wrong,0.3489348633549695,0.2583837927571462,2.556624089605518,-1.530475277107719,3.2674991216410163
extreme_low_cftc_oi,42,1041,2021-03-05T00:00:00,1,0.0521431966181289,0.5336911082267761,0.5141944885253906,-0.0194966197013854,0.5336911082267761,0.5141944885253906,-0.0194966197013854,both_correct,1.821730347569368,-0.2232811641997326,0.8812153641548424,-2.3579414613515914,-2.350554968779075
extreme_low_cftc_oi,42,1042,2021-03-06T00:00:00,1,0.1256774449595148,0.5437978506088257,0.5245058536529541,-0.0192919969558715,0.5437978506088257,0.5245058536529541,-0.0192919969558715,both_correct,1.7128870757902508,-0.2232811641997326,0.8812153641548424,-2.3579414613515914,-2.350554968779075
extreme_low_cftc_oi,43,1041,2021-03-05T00:00:00,1,0.0521431966181289,0.4675894975662231,0.4433558881282806,-0.0242336094379425,0.4675894975662231,0.4433558881282806,-0.0242336094379425,both_wrong,1.821730347569368,-0.2232811641997326,0.8812153641548424,-2.3579414613515914,-2.350554968779075
extreme_low_cftc_oi,43,1042,2021-03-06T00:00:00,1,0.1256774449595148,0.4365934431552887,0.4137507081031799,-0.0228427350521088,0.4365934431552887,0.4137507081031799,-0.0228427350521088,both_wrong,1.7128870757902508,-0.2232811641997326,0.8812153641548424,-2.3579414613515914,-2.350554968779075
extreme_low_cftc_oi,44,1041,2021-03-05T00:00:00,1,0.0521431966181289,0.4899159669876098,0.4859967231750488,-0.003919243812561,0.4899159669876098,0.4859967231750488,-0.003919243812561,both_wrong,1.821730347569368,-0.2232811641997326,0.8812153641548424,-2.3579414613515914,-2.350554968779075
extreme_low_cftc_oi,44,1042,2021-03-06T00:00:00,1,0.1256774449595148,0.4601834118366241,0.4565760493278503,-0.0036073625087738,0.4601834118366241,0.4565760493278503,-0.0036073625087738,both_wrong,1.7128870757902508,-0.2232811641997326,0.8812153641548424,-2.3579414613515914,-2.350554968779075
extreme_low_cftc_oi,45,1041,2021-03-05T00:00:00,1,0.0521431966181289,0.6098189353942871,0.5934286117553711,-0.016390323638916,0.6098189353942871,0.5934286117553711,-0.016390323638916,both_correct,1.821730347569368,-0.2232811641997326,0.8812153641548424,-2.3579414613515914,-2.350554968779075
extreme_low_cftc_oi,45,1042,2021-03-06T00:00:00,1,0.1256774449595148,0.5756525993347168,0.5592033863067627,-0.0164492130279541,0.5756525993347168,0.5592033863067627,-0.0164492130279541,both_correct,1.7128870757902508,-0.2232811641997326,0.8812153641548424,-2.3579414613515914,-2.350554968779075
extreme_low_cftc_oi,46,1041,2021-03-05T00:00:00,1,0.0521431966181289,0.3636461496353149,0.3644846677780151,0.0008385181427001,0.3636461496353149,0.3644846677780151,0.0008385181427001,both_wrong,1.821730347569368,-0.2232811641997326,0.8812153641548424,-2.3579414613515914,-2.350554968779075
extreme_low_cftc_oi,46,1042,2021-03-06T00:00:00,1,0.1256774449595148,0.3209155797958374,0.3217452466487884,0.0008296668529509,0.3209155797958374,0.3217452466487884,0.0008296668529509,both_wrong,1.7128870757902508,-0.2232811641997326,0.8812153641548424,-2.3579414613515914,-2.350554968779075
leveraged_money_short_pressure,42,985,2021-01-08T00:00:00,0,-0.1778573243203217,0.7271447777748108,0.7136217355728149,-0.0135230422019958,0.2728552520275116,0.286378264427185,0.0135230123996734,both_wrong,1.4286958266281928,1.836097490776892,1.9581208531542007,-2.463738670193471,-0.2062426567515952
leveraged_money_short_pressure,42,986,2021-01-09T00:00:00,0,-0.1455794245790909,0.7930922508239746,0.7806001901626587,-0.0124920606613159,0.2069077640771865,0.2193998098373413,0.0124920457601548,both_wrong,1.5675714247154315,1.836097490776892,1.9581208531542007,-2.463738670193471,-0.2062426567515952
leveraged_money_short_pressure,43,985,2021-01-08T00:00:00,0,-0.1778573243203217,0.9188058376312256,0.9131742715835572,-0.0056315660476683,0.0811942219734191,0.0868256911635398,0.0056314691901206,both_wrong,1.4286958266281928,1.836097490776892,1.9581208531542007,-2.463738670193471,-0.2062426567515952
leveraged_money_short_pressure,43,986,2021-01-09T00:00:00,0,-0.1455794245790909,0.9556626677513124,0.9522524476051332,-0.0034102201461791,0.0443373583257198,0.0477475449442863,0.0034101866185664,both_wrong,1.5675714247154315,1.836097490776892,1.9581208531542007,-2.463738670193471,-0.2062426567515952
leveraged_money_short_pressure,44,985,2021-01-08T00:00:00,0,-0.1778573243203217,0.4300709366798401,0.4263489246368408,-0.0037220120429992,0.5699290633201599,0.5736510753631592,0.0037220120429992,both_correct,1.4286958266281928,1.836097490776892,1.9581208531542007,-2.463738670193471,-0.2062426567515952
leveraged_money_short_pressure,44,986,2021-01-09T00:00:00,0,-0.1455794245790909,0.622984766960144,0.6187188029289246,-0.0042659640312194,0.3770152032375335,0.3812812268733978,0.0042660236358643,both_wrong,1.5675714247154315,1.836097490776892,1.9581208531542007,-2.463738670193471,-0.2062426567515952
leveraged_money_short_pressure,45,985,2021-01-08T00:00:00,0,-0.1778573243203217,0.6501680612564087,0.6381879448890686,-0.01198011636734,0.3498319387435913,0.3618120551109314,0.01198011636734,both_wrong,1.4286958266281928,1.836097490776892,1.9581208531542007,-2.463738670193471,-0.2062426567515952
leveraged_money_short_pressure,45,986,2021-01-09T00:00:00,0,-0.1455794245790909,0.6483561396598816,0.6351922750473022,-0.0131638646125793,0.3516438603401184,0.3648076951503753,0.0131638348102569,both_wrong,1.5675714247154315,1.836097490776892,1.9581208531542007,-2.463738670193471,-0.2062426567515952
leveraged_money_short_pressure,46,985,2021-01-08T00:00:00,0,-0.1778573243203217,0.6027222871780396,0.5995129346847534,-0.0032093524932861,0.3972777426242828,0.4004870355129242,0.0032092928886414,both_wrong,1.4286958266281928,1.836097490776892,1.9581208531542007,-2.463738670193471,-0.2062426567515952
leveraged_money_short_pressure,46,986,2021-01-09T00:00:00,0,-0.1455794245790909,0.5526210069656372,0.5469428300857544,-0.0056781768798828,0.4473789632320404,0.4530571401119232,0.0056781768798828,both_wrong,1.5675714247154315,1.836097490776892,1.9581208531542007,-2.463738670193471,-0.2062426567515952
leveraged_money_long_pressure,42,1118,2021-05-21T00:00:00,0,-0.0154700377241389,0.6681734919548035,0.6590600609779358,-0.0091134309768676,0.3318265080451965,0.3409399390220642,0.0091134309768677,both_wrong,0.1410040436293166,-0.5081047145983825,2.556624089605518,1.9696028011609152,3.3873391643454656
leveraged_money_long_pressure,42,1119,2021-05-22T00:00:00,0,-0.003144214924914,0.6461622714996338,0.6369423866271973,-0.0092198848724365,0.3538377583026886,0.3630575537681579,0.0092197954654693,both_wrong,0.065763820606852,-0.5081047145983825,2.556624089605518,1.9696028011609152,3.3873391643454656
leveraged_money_long_pressure,43,1118,2021-05-21T00:00:00,0,-0.0154700377241389,0.6181260347366333,0.5907735228538513,-0.0273525118827819,0.3818740248680115,0.4092265367507934,0.0273525118827819,both_wrong,0.1410040436293166,-0.5081047145983825,2.556624089605518,1.9696028011609152,3.3873391643454656
leveraged_money_long_pressure,43,1119,2021-05-22T00:00:00,0,-0.003144214924914,0.5952528715133667,0.5678523778915405,-0.0274004936218261,0.4047470986843109,0.4321476817131042,0.0274005830287932,both_wrong,0.065763820606852,-0.5081047145983825,2.556624089605518,1.9696028011609152,3.3873391643454656
leveraged_money_long_pressure,44,1118,2021-05-21T00:00:00,0,-0.0154700377241389,0.7658621668815613,0.7635396718978882,-0.002322494983673,0.2341378629207611,0.2364602982997894,0.0023224353790282,both_wrong,0.1410040436293166,-0.5081047145983825,2.556624089605518,1.9696028011609152,3.3873391643454656
leveraged_money_long_pressure,44,1119,2021-05-22T00:00:00,0,-0.003144214924914,0.7050924897193909,0.702348530292511,-0.0027439594268798,0.2949075400829315,0.297651469707489,0.0027439296245574,both_wrong,0.065763820606852,-0.5081047145983825,2.556624089605518,1.9696028011609152,3.3873391643454656
leveraged_money_long_pressure,45,1118,2021-05-21T00:00:00,0,-0.0154700377241389,0.6273612380027771,0.6145415902137756,-0.0128196477890014,0.3726387321949005,0.3854584693908691,0.0128197371959685,both_wrong,0.1410040436293166,-0.5081047145983825,2.556624089605518,1.9696028011609152,3.3873391643454656
leveraged_money_long_pressure,45,1119,2021-05-22T00:00:00,0,-0.003144214924914,0.5505699515342712,0.5372636318206787,-0.0133063197135925,0.4494301080703735,0.4627363681793213,0.0133062601089478,both_wrong,0.065763820606852,-0.5081047145983825,2.556624089605518,1.9696028011609152,3.3873391643454656
leveraged_money_long_pressure,46,1118,2021-05-21T00:00:00,0,-0.0154700377241389,0.3918272256851196,0.3987201452255249,0.0068929195404053,0.6081728339195251,0.6012798547744751,-0.00689297914505,both_correct,0.1410040436293166,-0.5081047145983825,2.556624089605518,1.9696028011609152,3.3873391643454656
leveraged_money_long_pressure,46,1119,2021-05-22T00:00:00,0,-0.003144214924914,0.6079605221748352,0.6154096722602844,0.0074491500854492,0.3920395076274872,0.3845903277397156,-0.0074491798877716,both_wrong,0.065763820606852,-0.5081047145983825,2.556624089605518,1.9696028011609152,3.3873391643454656
