feature,normalized_column,group,missing_rate_all,missing_rate_train,missing_rate_validation,missing_rate_test,train_mean,train_std,train_unique,train_corr_label,train_spearman_label,train_corr_future_return,train_spearman_future_return,train_spearman_end_index,train_abs_spearman_end_index,train_univariate_auc,train_univariate_auc_lift,train_abs_auc_lift,test_spearman_stage2_error_rate,test_abs_spearman_stage2_error_rate,test_spearman_stage2_uncertainty,test_abs_spearman_stage2_uncertainty,train_only_candidate_score
funding_rate_sum_60,funding_rate_sum_60_normalized,bitmex_funding,0.0,0.0,0.0,0.0,0.0,1.0007459904058744,614,-0.1699093631672654,-0.21436949224480165,-0.22612802486086797,-0.2669638956906841,0.27882620552723625,0.27882620552723625,0.3756124481774619,-0.12438755182253808,0.12438755182253808,-0.0015143604306258715,0.0015143604306258715,-0.08474215394069941,0.08474215394069941,0.2669638956906841
bitmex_volume_mean_20,bitmex_volume_mean_20_normalized,bitmex_activity,0.0,0.0,0.0,0.0,-2.3296483139675417e-16,1.0007459904058729,659,-0.14663492776593168,-0.17772479866845028,-0.17265683085783745,-0.24441715908233977,-0.21009535630369208,0.21009535630369208,0.39687539259498555,-0.10312460740501445,0.10312460740501445,0.02721600906325344,0.02721600906325344,-0.06743805473267823,0.06743805473267823,0.24441715908233977
bitmex_foreignnotional_mean_20,bitmex_foreignnotional_mean_20_normalized,bitmex_activity,0.0,0.0,0.0,0.0,-2.3296483139675417e-16,1.0007459904058729,659,-0.14663492776593168,-0.17772479866845028,-0.17265683085783745,-0.24441715908233977,-0.21009535630369208,0.21009535630369208,0.39687539259498555,-0.10312460740501445,0.10312460740501445,0.02721600906325344,0.02721600906325344,-0.06743805473267823,0.06743805473267823,0.24441715908233977
bitmex_volume_mean_7,bitmex_volume_mean_7_normalized,bitmex_activity,0.0,0.0,0.0,0.0,2.117862103606856e-17,1.000745990405874,659,-0.16621161396552087,-0.17030155612051637,-0.19990069025984386,-0.24413784425210436,-0.18775036848755638,0.18775036848755638,0.4011827204364759,-0.0988172795635241,0.0988172795635241,0.0434359108596608,0.0434359108596608,-0.06210401712299462,0.06210401712299462,0.24413784425210436
cot_open_interest,cot_open_interest_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,4.235724207213712e-17,1.0007459904058738,134,0.14516903318589006,0.19435625381902633,0.19416763942405357,0.22925376692093768,0.875174558252982,0.875174558252982,0.6127712270500189,0.11277122705001885,0.11277122705001885,-0.0036585743367434425,0.0036585743367434425,0.0335444189450351,0.0335444189450351,0.22925376692093768
funding_rate_abs_mean_60,funding_rate_abs_mean_60_normalized,bitmex_funding,0.0,0.0,0.0,0.0,-1.6942896828854848e-16,1.0007459904058744,622,-0.1682386792075635,-0.18925412373407352,-0.15383362770257578,-0.22725812725890673,-0.6339191500317133,0.6339191500317133,0.3901855740411709,-0.10981442595882912,0.10981442595882912,-0.041362495981250164,0.041362495981250164,-0.012484535192877214,0.012484535192877214,0.22725812725890673
bitmex_trades_mean_60,bitmex_trades_mean_60_normalized,bitmex_activity,0.0,0.0,0.0,0.0,2.3296483139675417e-16,1.0007459904058733,659,-0.16748327896806367,-0.19459721037635833,-0.17708919409092194,-0.22103546519835088,-0.08338719438426644,0.08338719438426644,0.3870851953552648,-0.11291480464473519,0.11291480464473519,0.027698660834938663,0.027698660834938663,-0.10569991402005918,0.10569991402005918,0.22582960928947038
funding_rate_min_7,funding_rate_min_7_normalized,bitmex_funding,0.0,0.0,0.0,0.0,1.058931051803428e-16,1.0007459904058704,170,-0.1283753499376352,-0.1878457655540602,-0.10259360716175327,-0.20762623962929513,0.37522481896439186,0.37522481896439186,0.39176044078321576,-0.10823955921678424,0.10823955921678424,-0.028830311453299517,0.028830311453299517,0.002343937811775575,0.002343937811775575,0.21647911843356848
cot_lev_money_net_ratio,cot_lev_money_net_ratio_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,0.0,1.0007459904058726,135,-0.12274024653745938,-0.1604940653616964,-0.1480074953756016,-0.1937628170276331,-0.6091497210717876,0.6091497210717876,0.40687646942694594,-0.09312353057305406,0.09312353057305406,-0.02398470720791224,0.02398470720791224,0.12390495895710081,0.12390495895710081,0.1937628170276331
cot_nonrept_net_ratio,cot_nonrept_net_ratio_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,-4.235724207213712e-16,1.000745990405871,135,0.12735799442271642,0.13145726628254917,0.19280231205174692,0.16991128175164183,0.5928644603260866,0.5928644603260866,0.576275597193058,0.07627559719305799,0.07627559719305799,-0.02384272407729106,0.02384272407729106,0.01785169813140086,0.01785169813140086,0.19280231205174692
