feature,family,source_feature,num_rows_all,missing_rate_all,missing_rate_train,train_mean,train_std,train_unique,train_corr_label,train_abs_corr_label,train_corr_future_return,train_abs_corr_future_return,train_spearman_future_return,train_abs_spearman_future_return,test_corr_stage2_error_rate,test_abs_corr_stage2_error_rate,test_corr_stage2_prob_up_mean,test_abs_corr_stage2_prob_up_mean,test_corr_stage2_uncertainty,test_abs_corr_stage2_uncertainty,train_only_candidate_score
news__news_svd_60d_29_normalized,news,news_svd_60d_29_normalized,2399,0.0,0.0,-2.64732762950857e-18,1.0007459904058735,659,-0.11913622728087893,0.11913622728087893,-0.162628305697985,0.162628305697985,-0.11297665242612888,0.11297665242612888,-0.1069859982078875,0.1069859982078875,-0.13125981459165373,0.13125981459165373,0.2062102389096642,0.2062102389096642,0.162628305697985
news__news_svd_60d_14_normalized,news,news_svd_60d_14_normalized,2399,0.0,0.0,2.117862103606856e-17,1.0007459904058742,659,-0.1600286452950018,0.1600286452950018,-0.13102251794407055,0.13102251794407055,-0.14990865070450468,0.14990865070450468,0.03656400695055941,0.03656400695055941,-0.14953087563751652,0.14953087563751652,0.16700705939198213,0.16700705939198213,0.1600286452950018
news__unique_source_count_log1p_60d_normalized,news,unique_source_count_log1p_60d_normalized,2399,0.0,0.0,2.541434524328227e-16,1.0007459904058735,20,-0.15986911618597582,0.15986911618597582,-0.10311680519573169,0.10311680519573169,-0.14534672840398394,0.14534672840398394,-0.056908606731374725,0.056908606731374725,0.2430230047388183,0.2430230047388183,-0.09943234472795652,0.09943234472795652,0.15986911618597582
fear_greed__fg_delta_60_normalized,fear_greed,fg_delta_60_normalized,2399,0.0,0.0,0.0,1.0007459904058715,104,-0.15000224152872524,0.15000224152872524,-0.14620109497363246,0.14620109497363246,-0.1596366189861896,0.1596366189861896,-0.10027747025543422,0.10027747025543422,-0.11722228920777507,0.11722228920777507,0.09258967213526556,0.09258967213526556,0.1596366189861896
news__news_svd_20d_07_normalized,news,news_svd_20d_07_normalized,2399,0.0,0.0,-3.176793155410284e-17,1.0007459904058735,656,0.13410264327519691,0.13410264327519691,0.11865879906265021,0.11865879906265021,0.15720003556984624,0.15720003556984624,-0.057951191159170676,0.057951191159170676,0.061233812116073885,0.061233812116073885,9.023604975739368e-05,9.023604975739368e-05,0.15720003556984624
news__news_svd_7d_12_normalized,news,news_svd_7d_12_normalized,2399,0.0,0.0,-1.588396577705142e-17,1.0007459904058724,651,0.13480190413643853,0.13480190413643853,0.15670755601887001,0.15670755601887001,0.1273869191395344,0.1273869191395344,-0.03449456043939417,0.03449456043939417,-0.06334800205308982,0.06334800205308982,-0.018615531269636335,0.018615531269636335,0.15670755601887001
fsi__ofr_fsi_mean_20_normalized,fsi,ofr_fsi_mean_20_normalized,2399,0.0,0.0,-1.2707172621641136e-16,1.000745990405873,496,0.15664039634276158,0.15664039634276158,0.15308171741159193,0.15308171741159193,0.1009298664915562,0.1009298664915562,0.009794470776292297,0.009794470776292297,-0.09865351699120306,0.09865351699120306,0.15323138491569535,0.15323138491569535,0.15664039634276158
news__news_count_log1p_7d_normalized,news,news_count_log1p_7d_normalized,2399,0.0,0.0,4.235724207213712e-17,1.0007459904058744,108,0.10824996476703717,0.10824996476703717,0.15380854636601438,0.15380854636601438,0.13115008257705263,0.13115008257705263,0.006177604827111602,0.006177604827111602,0.10044651468182933,0.10044651468182933,-0.05210226895282899,0.05210226895282899,0.15380854636601438
news__news_count_log1p_60d_normalized,news,news_count_log1p_60d_normalized,2399,0.0,0.0,-1.440146230452662e-15,1.000745990405875,321,0.09719087972994127,0.09719087972994127,0.1533089183210317,0.1533089183210317,0.08515129443196343,0.08515129443196343,0.02216402036257418,0.02216402036257418,0.01557761552790442,0.01557761552790442,-0.027573537144011687,0.027573537144011687,0.1533089183210317
news__news_svd_60d_04_normalized,news,news_svd_60d_04_normalized,2399,0.0,0.0,0.0,1.0007459904058729,659,-0.14923989744317068,0.14923989744317068,-0.15193845210457863,0.15193845210457863,-0.14968494462886678,0.14968494462886678,0.007503303107572971,0.007503303107572971,-0.06726435168078634,0.06726435168078634,0.03285345244783066,0.03285345244783066,0.15193845210457863
