split,window_days,feature,mean,std,min,max
validation,7,news_svd_7d_19,0.006536418414773526,0.08434354808036762,-0.19014369146381677,0.22248638418401034
validation,7,news_svd_7d_20,-0.0011350728958983225,0.07801642730523062,-0.16316815438499918,0.16941900920585906
validation,7,news_svd_7d_21,0.004258824397252044,0.07618649553063234,-0.17807292851729023,0.17901887578293868
validation,7,news_svd_7d_22,-0.00021420892184581425,0.07487328905164457,-0.19097859077698703,0.19155812803560537
validation,7,news_svd_7d_23,0.0035436052666321612,0.07563779563195715,-0.15648998967938507,0.14906241386784816
validation,7,news_svd_7d_24,-0.006707946506406645,0.07223445882291976,-0.22256343972795958,0.23435231378870694
validation,7,news_svd_7d_25,-0.0023797052310851018,0.08335118682791069,-0.206522286946798,0.22133503551395212
validation,7,news_svd_7d_26,0.0013465924660113193,0.07868789596861846,-0.1941370410904469,0.21841023642063775
validation,7,news_svd_7d_27,-0.009976857130271239,0.0743571177321001,-0.21411831351751373,0.23544391097064743
validation,7,news_svd_7d_28,0.005968235374168599,0.07007098832184125,-0.18380233306741953,0.2280532754694122
validation,7,news_svd_7d_29,0.006252379195371067,0.07467108047450298,-0.1885503019193776,0.1948359370232478
validation,7,news_svd_7d_30,-0.0004138863234452109,0.07640360641279169,-0.19988775899149255,0.18782477562917593
validation,7,news_svd_7d_31,-0.004927771250854454,0.07564903098990913,-0.16866898294312813,0.17873416282528265
validation,20,news_svd_20d_00,0.3893536857784669,0.05526413919745478,0.22668280242094255,0.5140253238763234
validation,20,news_svd_20d_01,-0.005525825558127579,0.18870220360503911,-0.21573218023033164,0.36033902866305506
validation,20,news_svd_20d_02,0.020553909253987642,0.1624830550615545,-0.30574610303476246,0.2898468513849124
validation,20,news_svd_20d_03,-0.010875812542627667,0.15115083386106926,-0.2819269800540448,0.29923059695381976
validation,20,news_svd_20d_04,0.012536128145407593,0.14963047788476325,-0.27986272213924734,0.2783899415078948
validation,20,news_svd_20d_05,-0.00646277535298259,0.14054089469403047,-0.285719757285265,0.33759814189831433
validation,20,news_svd_20d_06,0.0017236873206353722,0.13093236443881753,-0.32731226933643587,0.3423748011583364
validation,20,news_svd_20d_07,0.0031782081440743537,0.13256763571341387,-0.2349811902257452,0.27986344956828346
validation,20,news_svd_20d_08,-0.00640036101638735,0.14211877228989708,-0.2756596123872151,0.30717938743577544
validation,20,news_svd_20d_09,0.011088583589918525,0.13588061078578897,-0.2677574544278771,0.3140222182251903
validation,20,news_svd_20d_10,0.0015013359944160188,0.13526987181082875,-0.31371434882064475,0.284868553750471
validation,20,news_svd_20d_11,-0.0018894836521814071,0.13309871178958652,-0.2095849382455109,0.24543026104474328
validation,20,news_svd_20d_12,0.00033124729196198097,0.12296352735580951,-0.3237905849562334,0.37253949178499474
validation,20,news_svd_20d_13,0.01457278103868287,0.11875138796994279,-0.3163467621014639,0.30453024831085806
validation,20,news_svd_20d_14,0.016225089825889914,0.134969455914037,-0.2849811316267724,0.3736896736417416
validation,20,news_svd_20d_15,0.013855962492734505,0.12130838415539401,-0.2730701728436384,0.29352773730827925
validation,20,news_svd_20d_16,0.007856942121283378,0.1291213002828672,-0.2763380736784207,0.29104269058490606
validation,20,news_svd_20d_17,-0.0011058516492774794,0.11332049249377603,-0.2828790264621467,0.34694185093149865
validation,20,news_svd_20d_18,0.00796459583085114,0.12208197357224984,-0.25207923634244467,0.2955790118599964
validation,20,news_svd_20d_19,0.01843732449321499,0.12128537779938282,-0.24870399313471722,0.292079293193808
validation,20,news_svd_20d_20,-0.001953408619469515,0.11883832825016592,-0.2216515038478728,0.2468513073248528
validation,20,news_svd_20d_21,0.009666746612567736,0.11180447142025073,-0.2235525919337757,0.2398483566396098
validation,20,news_svd_20d_22,0.0005361370609859765,0.11144850112293367,-0.2600325121093381,0.2282949404735467
validation,20,news_svd_20d_23,0.007493156834565923,0.11144448953364655,-0.20455415192134477,0.20865969314928895
validation,20,news_svd_20d_24,0.0006456569614617792,0.10114373651009936,-0.2683453717003347,0.31892966839807824
validation,20,news_svd_20d_25,0.0017905456282312807,0.1207574120610537,-0.2693790425006366,0.28665778415307247
