context_method,experiment_name,run_seed,split,prob_up_mean,prob_up_std,prob_up_min,prob_up_max,prob_up_q00,prob_up_q01,prob_up_q05,prob_up_q10,prob_up_q25,prob_up_q50,prob_up_q75,prob_up_q90,prob_up_q95,prob_up_q99,prob_up_q100
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,42,validation,0.6209633136719777,0.2627589501434538,0.0403629727661609,0.9888007640838624,0.0403629727661609,0.07271110460162157,0.1292735889554023,0.21098579764366146,0.4323205798864364,0.6724147200584412,0.8358487486839294,0.9298055529594421,0.9543589055538177,0.9856006848812102,0.9888007640838624
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,42,test,0.6358474273904176,0.24147792252958936,0.045413602143526,0.9959093332290648,0.045413602143526,0.09095932245254514,0.1984692960977554,0.271546721458435,0.4541914165019989,0.6779583692550659,0.8413313627243042,0.9197313189506532,0.9485875368118286,0.9806148290634156,0.9959093332290648
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,43,validation,0.49278759073712686,0.006755764742657367,0.4729827344417572,0.5126769542694092,0.4729827344417572,0.4779105371236801,0.48223145008087154,0.48425056934356686,0.4877510070800781,0.4929598867893219,0.4975853711366653,0.501187777519226,0.5031555831432343,0.5088635122776032,0.5126769542694092
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,43,test,0.49179438072968323,0.006904236870752245,0.4690116941928863,0.5135266780853271,0.4690116941928863,0.47625240683555603,0.4804381728172302,0.4828473925590515,0.4872865378856659,0.4916692078113556,0.496700644493103,0.5007930397987366,0.5032755732536316,0.5075151085853576,0.5135266780853271
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,44,validation,0.4500416338651438,0.008222086388476654,0.4269360601902008,0.4786723256111145,0.4269360601902008,0.4344306164979934,0.437937781214714,0.4395817816257477,0.4442121237516403,0.449932724237442,0.45471571385860443,0.4600308954715729,0.46375518143177025,0.47310939729213713,0.4786723256111145
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,44,test,0.45284712761330326,0.00820549845609389,0.423953115940094,0.4775217771530151,0.423953115940094,0.4343059539794922,0.4386101365089416,0.4424485266208648,0.4472887516021728,0.4529725015163421,0.45835942029953,0.4632983207702636,0.4662292003631592,0.47144206166267383,0.4775217771530151
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,45,validation,0.6121064340273885,0.2364779731496649,0.0295498855412006,0.974791944026947,0.0295498855412006,0.10153008341789244,0.18708191365003582,0.2527504503726959,0.43923763930797577,0.6485022306442261,0.8243938386440277,0.8950876355171205,0.9190914332866669,0.9577217745780945,0.974791944026947
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,45,test,0.598825128975219,0.22901254007478938,0.0390683896839618,0.9843706488609314,0.0390683896839618,0.10739559531211847,0.1948452293872833,0.2709069848060608,0.4264814853668213,0.6236653327941895,0.7913731336593628,0.8903743028640747,0.9305089712142944,0.9636595606803893,0.9843706488609314
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,46,validation,0.657705885140738,0.21079343277922838,0.1507627665996551,0.9708521366119384,0.1507627665996551,0.17647198915481563,0.2688219130039215,0.3625909805297851,0.4801645427942276,0.6933454275131226,0.8452720940113068,0.9142224907875062,0.9372517704963683,0.9629704988002775,0.9708521366119384
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,46,test,0.6622917663401651,0.20300046225787913,0.0533774830400943,0.9770852327346802,0.0533774830400943,0.14193070828914642,0.26396644115448,0.3712405860424042,0.5243949890136719,0.7032867074012756,0.827953040599823,0.8960806727409363,0.9198685884475708,0.9569287180900571,0.9770852327346802
