experiment_name,image_window,image_spec,return_horizon,run_seed,status,error,checkpoint_available,metrics_available,trading_available,num_samples,accuracy,majority_class_accuracy,accuracy_minus_majority_class_accuracy,roc_auc,average_precision,f1,brier_score,positive_rate,predicted_positive_rate,long_flat_sharpe_net,long_flat_annualized_return_net,long_short_sharpe_net,long_short_annualized_return_net
stage2_i60_ohlc_vb_r20,60,ohlc_vb,20,42,ok,,True,True,True,1441,0.5947258848022207,0.5412907702984039,,0.5828174095193762,0.5785237149395392,0.7002053388090349,0.24921842687133305,0.5412907702984039,0.8105482303955587,3.7746822734737613,9.874786092981706,3.6890243952485635,10.620659953605557
stage2_i60_ohlc_vb_r20,60,ohlc_vb,20,43,ok,,True,True,True,1441,0.5641915336571826,0.5412907702984039,,0.5572888785445518,0.5733119180093977,0.6634512325830655,0.2690330925522974,0.5412907702984039,0.7536433032616239,3.351747860014552,8.029479199348247,2.3816433563859225,6.930046166338643
stage2_i60_ohlc_vb_r20,60,ohlc_vb,20,44,ok,,True,True,True,1441,0.5468424705065926,0.5412907702984039,,0.5467648085651111,0.5725317237942046,0.6101492537313433,0.2605202349611959,0.5412907702984039,0.6210964607911172,2.4101436536758123,5.179996940368842,0.4197862002972383,1.2305750557358397
stage2_i60_ohlc_vb_r20,60,ohlc_vb,20,45,ok,,True,True,True,1441,0.5628036086051353,0.5412907702984039,,0.5411594708871562,0.5506272445744388,0.7058823529411764,0.2517489512650632,0.5412907702984039,0.945176960444136,3.4188416249240197,9.627643515518267,3.511438699822487,10.126374798678683
stage2_i60_ohlc_vb_r20,60,ohlc_vb,20,46,ok,,True,True,True,1441,0.5683553088133241,0.5412907702984039,,0.5782051282051283,0.5821188217798261,0.6131840796019901,0.2610105172676593,0.5412907702984039,0.5746009715475364,2.7284631950440184,5.5435137931453715,0.6682248457447105,1.9581153539328955
stage2_i60_ohlc_ma_vb_r20,60,ohlc_ma_vb,20,42,ok,,True,True,True,1441,0.6030534351145038,0.5412907702984039,,0.61694984289538,0.6334421240963644,0.657074340527578,0.2587921191308433,0.5412907702984039,0.6162387231089521,3.9342293110469932,9.100435241456466,3.1353916212720123,9.071958250555083
stage2_i60_ohlc_ma_vb_r20,60,ohlc_ma_vb,20,43,ok,,True,True,True,1441,0.5746009715475364,0.5412907702984039,,0.5833469102758059,0.6103175604729265,0.6526912181303116,0.2807029335434596,0.5412907702984039,0.6835530881332408,3.629486249709735,8.376877370719331,2.624812958048557,7.624842509080815
stage2_i60_ohlc_ma_vb_r20,60,ohlc_ma_vb,20,44,ok,,True,True,True,1441,0.5628036086051353,0.5412907702984039,,0.5609691997362195,0.5931206705226593,0.6564885496183206,0.2800487764703684,0.5412907702984039,0.7314365024288688,3.1738099245993125,7.698715591251975,2.15161531886609,6.2685189501461025
stage2_i60_ohlc_ma_vb_r20,60,ohlc_ma_vb,20,45,ok,,True,True,True,1441,0.5628036086051353,0.5412907702984039,,0.5651324721672679,0.5914373973371188,0.64,0.27627653661393436,0.5412907702984039,0.6731436502428869,2.9866921182496444,7.201069583218532,1.806174916059024,5.272720341435219
stage2_i60_ohlc_ma_vb_r20,60,ohlc_ma_vb,20,46,ok,,True,True,True,1441,0.5933379597501734,0.5412907702984039,,0.5979110904224368,0.6279631460224291,0.6491017964071857,0.2758634450271591,0.5412907702984039,0.6176266481609993,3.4873431326538733,7.942105085386059,2.320801293164587,6.755297938414269
