experiment_name,image_window,return_horizon,image_spec,run_seed,classification_available,num_samples,accuracy,majority_class_accuracy,accuracy_minus_majority,roc_auc,average_precision,f1,precision,recall,brier_score,log_loss,positive_rate,predicted_positive_rate,probability_return_pearson,trading_available,long_flat_mean_trade_return_gross,long_flat_mean_trade_return_net,long_flat_annualized_return_gross,long_flat_annualized_return_net,long_flat_annualized_volatility,long_flat_sharpe_gross,long_flat_sharpe_net,long_flat_max_drawdown_gross,long_flat_max_drawdown_net,long_flat_turnover_mean,long_flat_mean_prob_up,long_short_mean_trade_return_gross,long_short_mean_trade_return_net,long_short_annualized_return_gross,long_short_annualized_return_net,long_short_annualized_volatility,long_short_sharpe_gross,long_short_sharpe_net,long_short_max_drawdown_gross,long_short_max_drawdown_net,long_short_turnover_mean,long_short_mean_prob_up
stage2_i20_ohlc_ma_r20,20,20,ohlc_ma,43,True,1441,0.5031228313671062,0.5412907702984039,-0.03816793893129766,0.4661294076573955,0.5172913859864967,0.6331967213114754,0.5273037542662116,0.7923076923076923,0.25550693405184915,0.7045928304067443,0.5412907702984039,0.813324080499653,-0.08162493892982432,True,0.016924716868248632,0.01665892922078159,6.17752165691075,6.080509165585281,2.594657884999386,2.380861728486494,2.3435293969562063,-0.999999999928689,-0.9999999999352127,0.26578764746703676,0.5523978801422199,0.008838021329155211,0.00830713999674716,3.2258777851416522,3.0321060988127133,2.9272058121423656,1.1020331306259241,1.0356224684471693,-0.9999999995126564,-0.9999999996069237,0.5308813324080499,0.5523978801422199
stage2_i20_ohlc_ma_vb_r20,20,20,ohlc_ma_vb,43,True,1441,0.5239417071478141,0.5412907702984039,-0.017349063150589816,0.4808487528608557,0.5162419100299523,0.6566566566566567,0.5385878489326765,0.841025641025641,0.25354593154843674,0.7006234944255525,0.5412907702984039,0.8452463566967384,-0.06406681772276762,True,0.019806699482006637,0.019564506560424404,7.229445310932422,7.141044894554907,2.624009202697036,2.755114312671533,2.7214731438048796,-0.999999999918512,-0.9999999999251271,0.24219292158223457,0.553432319414111,0.014601986556671222,0.014116906750980731,5.329725093184996,5.152670964107966,2.918764365819628,1.8260210230051708,1.7649563536174684,-0.9999999986383776,-0.9999999988460705,0.4850798056904927,0.553432319414111
stage2_i60_ohlc_r20,60,20,ohlc,43,True,1441,0.5412907702984039,0.5412907702984039,0.0,0.5442142829434811,0.5852947531833705,0.7023863124718596,0.5412907702984039,1.0,0.24854044932879762,0.6902242833347189,0.5412907702984039,1.0,0.12169173427950088,True,0.02501141240734206,0.025010718444816032,9.129165528679852,9.128912232357852,2.8928484497812956,3.155770406628122,3.1556853568046463,-0.9999999999975927,-0.9999999999975927,0.0006939625260235947,0.5756463726140988,0.02501141240734206,0.025010718444816032,9.129165528679852,9.128912232357852,2.8928484497812956,3.155770406628122,3.1556853568046463,-0.9999999999975927,-0.9999999999975927,0.0006939625260235947,0.5756463726140988
stage2_i60_ohlc_vb_r20,60,20,ohlc_vb,43,True,1441,0.5641915336571826,0.5412907702984039,0.022900763358778664,0.5572888785445518,0.5733119180093977,0.6634512325830655,0.5699815837937385,0.7935897435897435,0.2690330925522974,0.7526396034434178,0.5412907702984039,0.7536433032616239,0.04003887875938385,True,0.02224215399553359,0.021998573148899307,8.11838620836976,8.029479199348247,2.3952745457154694,3.3893343136349303,3.351747860014552,-0.9999998087201403,-0.9999998246495194,0.24358084663428176,0.6301424547326722,0.019472895583725124,0.018986427852982584,7.107606888059671,6.930046166338643,2.908360747971518,2.443853257549629,2.3816433563859225,-0.9999903156326388,-0.9999917074029672,0.4864677307425399,0.6301424547326722
stage2_i60_ohlc_ma_r20,60,20,ohlc_ma,43,True,1441,0.5322692574600971,0.5412907702984039,-0.009021512838306767,0.5437759416579386,0.5676149827694026,0.5542328042328043,0.5724043715846995,0.5371794871794872,0.29888658083026326,0.849674699944539,0.5412907702984039,0.5079805690492714,0.040359015585539705,True,0.015505784653431819,0.015188643779039035,5.659611398502614,5.5438549793492475,2.0425862727451523,2.7708065377803246,2.714333492018434,-0.9999973941806446,-0.9999977061710534,0.31714087439278277,0.5014562577909663,0.006000156899521588,0.005365181188209997,2.1900572683253796,1.9582911336966489,2.9298317749449256,0.7475027361823693,0.6682248977755576,-0.9999987433217079,-0.9999994959037911,0.6349757113115891,0.5014562577909663
stage2_i60_ohlc_ma_vb_r20,60,20,ohlc_ma_vb,43,True,1441,0.5746009715475364,0.5412907702984039,0.03331020124913253,0.5833469102758059,0.6103175604729265,0.6526912181303116,0.584771573604061,0.7384615384615385,0.2807029335434596,0.8112908003374544,0.5412907702984039,0.6835530881332408,0.09373081858304053,True,0.02320225735782145,0.02295034896087488,8.46882393560483,8.376877370719331,2.3076331319392462,3.6699178124938574,3.629486249709735,-0.9999982216390568,-0.9999983821970122,0.25190839694656486,0.6189029609434188,0.021393102308300844,0.02088997947693374,7.808482342529808,7.624842509080815,2.9034290718452533,2.6894000677506416,2.624812958048557,-0.9994434952453691,-0.9995430351341127,0.5031228313671062,0.6189029609434188
stage2_i20_ohlc_r20,20,20,ohlc,44,True,1441,0.4913254684247051,0.5412907702984039,-0.0499653018736988,0.5445808603902401,0.5802872815548634,0.28765792031098153,0.5943775100401606,0.18974358974358974,0.2515573756099396,0.6962739837413715,0.5412907702984039,0.17279666897987508,0.06581772387045895,True,0.005377418483823593,0.005123428199298959,1.9627577465956116,1.87005129274412,1.2349136582815654,1.589388645459531,1.5150278324476396,-0.9737240994276499,-0.9774217655461129,0.2539902845246357,0.4722465324492855,-0.01425657543969486,-0.014763862046218114,-5.203650035488623,-5.388809646869611,2.9193880000225327,-1.7824455109935577,-1.8464531631319876,-1.0,-1.0,0.5072866065232478,0.4722465324492855
stage2_i20_ohlc_vb_r20,20,20,ohlc_vb,44,True,1441,0.4850798056904927,0.5412907702984039,-0.056210964607911196,0.5069998836262074,0.5438083788039549,0.34336283185840705,0.5542857142857143,0.24871794871794872,0.25266877211157984,0.6985122248690177,0.5412907702984039,0.24288688410825815,0.0174199700758462,True,0.00707653999781635,0.006765644786157781,2.582937099202968,2.46946034694759,1.347997704822948,1.9161287070160276,1.832636954239939,-0.997603174954695,-0.9978871313911996,0.3108952116585704,0.47906515186317755,-0.010858332411709352,-0.011479428872500466,-3.9632913302739134,-4.18999153846267,2.9247221102597196,-1.3551001363072976,-1.4330609459474013,-0.9999999999999998,-0.9999999999999999,0.6210964607911172,0.47906515186317755
stage2_i20_ohlc_ma_r20,20,20,ohlc_ma,44,True,1441,0.49479528105482307,0.5412907702984039,-0.04649548924358082,0.5390123744132822,0.5792147324934273,0.3208955223880597,0.589041095890411,0.2205128205128205,0.25148659530570694,0.6961426895472879,0.5412907702984039,0.20263705759888967,0.06680710104193735,True,0.007924173616265958,0.007628545580179906,2.8923233699370745,2.7844191367656657,1.3905538997148543,2.079979330919982,2.0033049489971253,-0.992335013180334,-0.9934771511269129,0.29562803608605137,0.4754316081072538,-0.009163065174810135,-0.009753627284456213,-3.3445187888056993,-3.560073958826518,2.9268407398709124,-1.1427061073890914,-1.216654360243951,-0.9999999999999958,-0.9999999999999981,0.5905621096460791,0.4754316081072538
stage2_i20_ohlc_ma_vb_r20,20,20,ohlc_ma_vb,44,True,1441,0.4857737682165163,0.5412907702984039,-0.05551700208188759,0.5027852127700843,0.5374632638898882,0.3318304779080253,0.5592705167173252,0.2358974358974359,0.2529278896350971,0.6990235276371641,0.5412907702984039,0.22831367106176267,0.012427221761202834,True,0.0059633393586035624,0.005670487172621605,2.1766188658903003,2.0697278180068857,1.2885269631129577,1.6892303600941323,1.6070411555175192,-0.996565013449048,-0.997155178652146,0.29285218598195695,0.47816797358802754,-0.013084733690134924,-0.013671132024624867,-4.775927796899247,-4.989963188988076,2.921391603635729,-1.6348125978576482,-1.7086483075140466,-1.0,-1.0,0.5863983344899375,0.47816797358802754
stage2_i60_ohlc_r20,60,20,ohlc,44,True,1441,0.5697432338653713,0.5412907702984039,0.0284524635669674,0.5794367508437099,0.6150915085559341,0.6817248459958933,0.5684931506849316,0.8512820512820513,0.25134488779312997,0.6984451173439702,0.5412907702984039,0.8105482303955587,0.01783260763992353,True,0.021683321780042085,0.021488318310229456,7.914412449715361,7.843236183233752,2.5277054249877633,3.1310659744909453,3.1028364213953865,-0.9999999983952096,-0.9999999985663479,0.19500346981263011,0.6154620932424176,0.018355231152742114,0.017965918175642876,6.699659370750871,6.55756013410965,2.9110144017710695,2.3014861646423936,2.2520181411086586,-0.9999999989962685,-0.9999999991574644,0.3893129770992366,0.6154620932424176
