Date,AdrActCnt,TxCnt,HashRate
2022-08-18,1009836,292682,202447354.27677864
2022-08-19,982140,276337,250867150.56061095
2022-08-20,841648,226096,209995535.8811957
2022-08-21,753797,201437,205767438.51073447
2022-08-22,880923,250080,204358071.36758935
2022-08-23,930754,257650,242410953.7902015
2022-08-24,930584,260385,205767438.51073447
2022-08-25,898274,255143,224089197.16521153
2022-08-26,937226,265467,248048418.3038078
2022-08-27,830874,221784,204358071.36758935
2022-08-28,776186,204472,226907929.42201468
2022-08-29,939245,253563,221270464.90840837
2022-08-30,951380,263101,228317294.53567275
2022-08-31,916812,258575,220515247.0319977
2022-09-01,969786,270341,212503107.41825655
2022-09-02,996822,270262,198644209.06016544
2022-09-03,916603,235843,226362005.77634773
2022-09-04,774639,206295,258699436.7568429
2022-09-05,942780,253103,235601272.08754975
2022-09-06,927513,267063,218662618.29239127
2022-09-07,951645,264285,224822129.16652596
2022-09-08,947648,266823,195564453.62309808
2022-09-09,1021884,286018,226362005.77634773
2022-09-10,873305,240963,241760782.96168444
2022-09-11,871675,225743,281797599.2087124
2022-09-12,989815,269113,235601272.08754975
2022-09-13,948189,259359,212237771.66655177
2022-09-14,977568,269647,202308898.95543608
2022-09-15,953771,277597,234168568.49770647
2022-09-16,933213,260328,203901883.69419253
2022-09-17,918990,245261,270807189.9623499
2022-09-18,775872,212149,245319452.49341664
2022-09-19,912328,255334,207087850.8778092
2022-09-20,952698,268728,242133487.6036962
2022-09-21,918372,263619,224610669.24075273
2022-09-22,860577,246387,203901883.69419253
2022-09-23,968636,276441,215052767.68990275
2022-09-24,799441,226763,232575586.05284625
2022-09-25,781165,208905,234168568.49770647
2022-09-26,938059,264276,238947520.42007956
2022-09-27,966074,275487,205494866.1390528
2022-09-28,849979,258906,234113533.83376324
2022-09-29,874705,266329,222928607.6727852
2022-09-30,1005499,292553,263461080.36655265
2022-10-01,867330,236007,282168375.28330106
2022-10-02,852250,216756,244753785.44980425
2022-10-03,964012,268836,240076960.0369605
2022-10-04,932869,280235,254107431.78574073
2022-10-05,891063,267518,272814728.9473646
2022-10-06,930050,276491,247871668.31007487
2022-10-07,936123,270954,266578963.22682327
2022-10-08,815047,235954,272814728.9473646
2022-10-09,787417,214993,246312725.75750184
2022-10-10,896218,253025,282818946.6660149
2022-10-11,916599,272927,277924882.7693476
2022-10-12,871140,260366,242520438.89338887
2022-10-13,933599,275214,253141772.82091248
2022-10-14,984001,284575,276154659.1735337
2022-10-15,838678,241112,269073772.43763787
2022-10-16,769067,214703,254911993.86760643
2022-10-17,870371,261168,265533327.79513
2022-10-18,887194,258490,251371549.22509855
2022-10-19,923688,260354,267303548.841824
2022-10-20,893489,268532,256682214.9143004
2022-10-21,913925,266487,276154659.1735337
2022-10-22,817446,231911,240750215.29757497
2022-10-23,803523,218227,274810664.8495725
2022-10-24,922514,266297,249031191.57743755
2022-10-25,829386,251891,223395628.20390147
2022-10-26,1051950,305561,283822315.5587801
2022-10-27,895161,265430,247200081.0379568
2022-10-28,925522,279384,291146762.99030495
2022-10-29,871729,251735,261848975.90100643
2022-10-30,830676,223333,247200081.0379568
2022-10-31,980614,290008,316782326.36384094
2022-11-01,955117,273150,263680086.4404872
2022-11-02,869056,258761,223395628.20390147
2022-11-03,1009478,294320,300302320.96131057
2022-11-04,939102,281439,236213409.89066955
2022-11-05,916525,253538,276497868.12725526
2022-11-06,811578,223686,250862304.7537192
2022-11-07,920253,267661,263168681.007737
2022-11-08,1051006,296138,297875785.7478076
2022-11-09,1076579,293667,272291362.9163776
2022-11-10,1056871,294575,268636444.99309605
2022-11-11,964454,278829,244879482.43907723
2022-11-12,942728,245106,305185621.59437066
2022-11-13,895185,224942,235742186.31510308
2022-11-14,954601,244858,224777435.1767992
2022-11-15,986709,281221,283256116.68622214
2022-11-16,944275,264899,274118823.1937887
2022-11-17,902258,254924,252189315.6540996
2022-11-18,955851,275776,254016775.9315107
2022-11-19,1113245,262900,268636444.99309605
2022-11-20,1013890,229629,272422405.82229453
2022-11-21,974239,269034,236949653.0891525
2022-11-22,931145,257097,231439196.90173665
2022-11-23,1057775,270971,258991483.12885457
2022-11-24,988182,250821,236949653.0891525
2022-11-25,981465,262820,225928740.7143208
2022-11-26,892687,230269,200213272.3346683
2022-11-27,855437,223392,249807385.956469
2022-11-28,931505,259679,255317844.78890425
2022-11-29,955669,271896,240623291.4291028
2022-11-30,946754,272102,253481024.29641935
2022-12-01,1030232,286994,281033310.52353734
2022-12-02,970221,271522,229602379.05427116
2022-12-03,938854,249912,240623291.4291028
2022-12-04,842351,216703,257154662.63636968
2022-12-05,960563,273083,268175577.6562208
2022-12-06,941978,264624,230616963.69146737
2022-12-07,899850,266558,292794731.64825046
2022-12-08,905789,270258,284283257.4040977
2022-12-09,946767,268606,258748834.6716393
2022-12-10,909506,231276,262153422.4082566
2022-12-11,781176,220885,250237357.97618172
2022-12-12,905428,264207,243428180.05164236
2022-12-13,974065,286344,280878667.2161756
2022-12-14,930586,279228,251939654.29579517
2022-12-15,897844,271326,236618999.6757982
2022-12-16,893040,258839,221298345.05580127
2022-12-17,967830,261183,234916703.3561848
2022-12-18,783263,207910,246832767.78825969
2022-12-19,971140,262020,234239565.5288072
2022-12-20,950486,270300,246114014.5930937
2022-12-21,905699,268746,251387888.03406775
2022-12-22,908585,276334,237324228.9000814
2022-12-23,891725,275188,232050357.99056572
2022-12-24,758680,215536,156458196.4740352
2022-12-25,731599,196741,247871973.2505712
2022-12-26,787672,227132,226776484.54959163
2022-12-27,867369,241695,202165083.596574
2022-12-28,904203,269982,295336819.03058743
2022-12-29,945186,266982,247871973.2505712
2022-12-30,1050756,286348,277757245.11310446
2022-12-31,839910,243946,274241330.32960796
2023-01-01,719716,189355,272483374.2035889
2023-01-02,842261,228547,274241330.32960796
2023-01-03,985169,273459,261567697.33085105
2023-01-04,922281,279254,242356483.09554732
2023-01-05,922508,274976,266083690.58224788
2023-01-06,932794,273358,305064103.230472
2023-01-07,809225,250336,260999287.23473144
2023-01-08,755503,229074,259304487.7459012
2023-01-09,981056,286289,257609688.25707093
2023-01-10,1146540,306036,286421296.6507751
2023-01-11,944957,288569,249135683.4913812
2023-01-12,1034292,310585,255914886.32772788
2023-01-13,1072059,320370,269473292.0004212
2023-01-14,965948,303624,289810898.0689484
2023-01-15,807742,255156,281119760.7470869
2023-01-16,966312,303811,274688842.3501408
2023-01-17,988775,309004,291506526.63057446
2023-01-18,942079,294539,261608421.54211783
2023-01-19,926693,298607,270951578.87773
2023-01-20,933005,303214,246659370.34330428
2023-01-21,906764,286001,257871158.06970707
2023-01-22,863236,249747,282163369.29496235
2023-01-23,933346,296833,295243790.10298526
2023-01-24,908199,288416,241053473.78927335
