split,feature,num_rows,missing_rate,mean,std,min,max
train,finbert_missing_20d,671,0.0,0.0,0.0,0.0,0.0
train,finbert_unique_source_count_20d,671,0.0,14.581222056631892,4.028874032162735,7.0,24.0
train,finbert_positive_count_20d,671,0.0,30.433681073025337,16.95696039044759,5.0,99.0
train,finbert_negative_count_20d,671,0.0,37.74068554396423,20.424117996800717,9.0,102.0
train,finbert_neutral_count_20d,671,0.0,73.9865871833085,39.74171986011395,17.0,221.0
train,finbert_positive_ratio_20d,671,0.0,0.2188908425296235,0.0714998998029207,0.07058823529411765,0.4262295081967213
train,finbert_negative_ratio_20d,671,0.0,0.2674033273764957,0.06927832637982159,0.10294117647058823,0.5
train,finbert_neutral_ratio_20d,671,0.0,0.5137058300938808,0.07154438581874809,0.3188405797101449,0.7040816326530612
train,finbert_confidence_mean_20d,671,0.0,0.8200030184555208,0.016944812044782483,0.7815607706993007,0.8683632243749999
train,finbert_confidence_max_20d,671,0.0,0.9709013528614009,0.003842998493000133,0.9565952,0.97640926
train,finbert_low_confidence_count_20d,671,0.0,4.506706408345752,3.958689633410953,0.0,19.0
train,finbert_high_confidence_positive_count_20d,671,0.0,16.572280178837556,10.084585874279178,0.0,59.0
train,finbert_high_confidence_negative_count_20d,671,0.0,24.847988077496275,13.012766107443182,6.0,84.0
train,finbert_sentiment_mean_20d,671,0.0,-0.030544234286908955,0.1032331583000953,-0.3359982605442857,0.18891148877549022
train,finbert_sentiment_sum_20d,671,0.0,-4.556182749619825,14.715647402654449,-63.237402708,35.505769659100004
train,finbert_sentiment_std_20d,671,0.0,0.5381066728473225,0.04508103483450096,0.43374712155654926,0.6758142764717983
train,finbert_sentiment_abs_mean_20d,671,0.0,0.41230167950372215,0.05655619253507392,0.271048639173077,0.593341828974026
train,finbert_confidence_weighted_sentiment_mean_20d,671,0.0,-0.04110352943951795,0.10958789409754052,-0.3604642684594226,0.19767429971995765
train,finbert_positive_prob_mean_20d,671,0.0,0.23919576879657067,0.058632095834758036,0.10970101454301076,0.4085868495625
train,finbert_negative_prob_mean_20d,671,0.0,0.2697400032055407,0.06018161372079751,0.12375566906397059,0.4879299684742858
train,finbert_neutral_prob_mean_20d,671,0.0,0.4910642286464832,0.058838877749609504,0.3304689321311475,0.6568396651372549
train,finbert_count_matches_sample_table_20d,671,0.0,1.0,0.0,1.0,1.0
train,finbert_news_count_60d,671,0.0,424.20119225037257,200.08656275620166,219.0,1025.0
train,finbert_missing_60d,671,0.0,0.0,0.0,0.0,0.0
train,finbert_unique_source_count_60d,671,0.0,22.58569299552906,4.458234483022128,14.0,34.0
train,finbert_positive_count_60d,671,0.0,90.2876304023845,43.14798359779671,33.0,246.0
train,finbert_negative_count_60d,671,0.0,114.41728763040238,54.63254674073264,45.0,255.0
train,finbert_neutral_count_60d,671,0.0,219.4962742175857,111.92577324924373,83.0,550.0
train,finbert_positive_ratio_60d,671,0.0,0.21881236201438,0.052994999334420874,0.11458333333333333,0.38392857142857145
train,finbert_negative_ratio_60d,671,0.0,0.27092868214076055,0.05100508102695081,0.1776061776061776,0.4
train,finbert_neutral_ratio_60d,671,0.0,0.5102589558448595,0.054833237010875516,0.3738738738738739,0.6516516516516516
train,finbert_confidence_mean_60d,671,0.0,0.8192573100334476,0.012685386815176825,0.798289638161435,0.8534202392765956
train,finbert_confidence_max_60d,671,0.0,0.9738489754545454,0.0018886567400096547,0.96641856,0.97640926
train,finbert_low_confidence_count_60d,671,0.0,13.545454545454545,9.773125169395007,1.0,43.0
train,finbert_high_confidence_positive_count_60d,671,0.0,48.640834575260804,25.01290535956038,9.0,142.0
train,finbert_high_confidence_negative_count_60d,671,0.0,75.14754098360656,32.58436566415338,30.0,164.0
train,finbert_sentiment_mean_60d,671,0.0,-0.03437567597158354,0.07590514791905384,-0.19521180231485033,0.1496707072462444
train,finbert_sentiment_sum_60d,671,0.0,-15.867679010496982,31.62120498508618,-94.70242478822001,51.58159952062
train,finbert_sentiment_std_60d,671,0.0,0.5421455700280149,0.036234210491010034,0.482622130468424,0.6479710884945511
train,finbert_sentiment_abs_mean_60d,671,0.0,0.41349999133755155,0.04416144400110313,0.3229577540203673,0.5414400896747945
train,finbert_confidence_weighted_sentiment_mean_60d,671,0.0,-0.04551038513858191,0.08121320269555725,-0.21954020955542708,0.152784897069408
train,finbert_positive_prob_mean_60d,671,0.0,0.23858540439082393,0.04409752338289485,0.15209294509013607,0.3709089547366072
train,finbert_negative_prob_mean_60d,671,0.0,0.2729610805522715,0.044565269025541525,0.1991206959277174,0.3896613735306383
train,finbert_neutral_prob_mean_60d,671,0.0,0.488453515578133,0.04582268012765517,0.37370316957432437,0.6015924476270628
train,finbert_count_matches_sample_table_60d,671,0.0,1.0,0.0,1.0,1.0
train,finbert_sentiment_mean_z_7d,671,0.0,-4.235724207213712e-17,1.0007459904058738,-3.3905710086421514,2.55065355784211
train,finbert_news_fg_proxy_7d,671,0.0,51.140844690058415,31.472481978895757,0.11336912787782438,99.39480662902889
train,finbert_weighted_sentiment_z_7d,671,0.0,-0.0761583422702079,1.0525392772041542,-3.544734194751628,2.6981679618281484
train,finbert_weighted_news_fg_proxy_7d,671,0.0,49.08822303744116,31.778084779964015,0.08331458154330562,99.54872964135346
train,finbert_sentiment_mean_z_20d,671,0.0,-4.235724207213712e-17,1.0007459904058733,-2.9610824376969394,2.127411759387342
train,finbert_news_fg_proxy_20d,671,0.0,50.66678406429865,30.963731349851173,0.2672233376654205,98.60030985741602
train,finbert_weighted_sentiment_z_20d,671,0.0,-0.10236219117473108,1.0623490303021759,-3.198256808078369,2.2123587673231864
train,finbert_weighted_news_fg_proxy_20d,671,0.0,47.990247644907036,31.533015156285806,0.16645847469872166,98.81641706807969
train,finbert_sentiment_mean_z_60d,671,0.0,0.0,1.0007459904058735,-2.120490018965279,2.4264978740356304
train,finbert_news_fg_proxy_60d,671,0.0,50.15885596152886,32.003773914622585,1.4189246160004672,99.2255484842043
train,finbert_weighted_sentiment_z_60d,671,0.0,-0.14680184228205706,1.0707282601210353,-2.4412397528954712,2.4675558663369856
train,finbert_weighted_news_fg_proxy_60d,671,0.0,46.56956518883885,32.65908851078185,0.7521203334015496,99.28616646058352
train,finbert_sentiment_delta_20d_7d,671,0.0,0.0012944548686442728,0.1024467570634967,-0.28879817389717644,0.36287388814
train,finbert_news_fg_proxy_delta_20d_7d,671,0.0,-0.4740606257597669,25.714799097812044,-82.87398661826674,89.2857195810406
train,finbert_sentiment_delta_60d_20d,671,0.0,-0.003831441684674584,0.07363090999446793,-0.1961925983976836,0.32886223916881274
train,finbert_news_fg_proxy_delta_60d_20d,671,0.0,-0.5079281027697967,24.365315545877444,-71.06235806283635,90.54327358414594
validation,finbert_news_count_7d,287,0.0,52.73867595818815,28.989593062564566,5.0,165.0
validation,finbert_missing_7d,287,0.0,0.0,0.0,0.0,0.0
validation,finbert_unique_source_count_7d,287,0.0,9.536585365853659,3.1252221479969298,3.0,19.0
validation,finbert_positive_count_7d,287,0.0,10.958188153310104,7.031273362438816,0.0,46.0
validation,finbert_negative_count_7d,287,0.0,14.181184668989546,9.18355523223661,2.0,50.0
validation,finbert_neutral_count_7d,287,0.0,27.5993031358885,16.27612691044741,2.0,85.0
validation,finbert_positive_ratio_7d,287,0.0,0.21167816343691126,0.09410342064830539,0.0,0.5666666666666667
validation,finbert_negative_ratio_7d,287,0.0,0.2700797029229554,0.10554781957731543,0.041666666666666664,0.6666666666666666
validation,finbert_neutral_ratio_7d,287,0.0,0.5182421336401333,0.09975628999271736,0.25,0.7391304347826086
validation,finbert_confidence_mean_7d,287,0.0,0.8180537898277944,0.02465057786548637,0.745209908,0.8895996018604654
validation,finbert_confidence_max_7d,287,0.0,0.9650819163066202,0.008218753757869067,0.9378471,0.97640926
validation,finbert_low_confidence_count_7d,287,0.0,1.7247386759581882,1.8179893175548887,0.0,9.0
validation,finbert_high_confidence_positive_count_7d,287,0.0,5.926829268292683,4.100768909067411,0.0,25.0
validation,finbert_high_confidence_negative_count_7d,287,0.0,9.195121951219512,6.253131570910518,1.0,42.0
validation,finbert_sentiment_mean_7d,287,0.0,-0.03589801561772265,0.14644600767061844,-0.5158323005416667,0.31563668326666666
validation,finbert_sentiment_sum_7d,287,0.0,-2.0569957136958643,7.264212412581143,-33.870429551,14.450202787799999
validation,finbert_sentiment_std_7d,287,0.0,0.5263578258507758,0.05685365306773258,0.39086598782313037,0.67284632070002
validation,finbert_sentiment_abs_mean_7d,287,0.0,0.40813857832987943,0.07447049231540213,0.2587310620212121,0.6973426917083333
validation,finbert_confidence_weighted_sentiment_mean_7d,287,0.0,-0.04512795390777716,0.15391611183642467,-0.5427291441438116,0.33305613409938617
validation,finbert_positive_prob_mean_7d,287,0.0,0.2345050883785268,0.07654543826058974,0.07499515468750001,0.5163231099333333
validation,finbert_negative_prob_mean_7d,287,0.0,0.2704031041769691,0.08907426592148318,0.06773641620833333,0.6301716302916667
validation,finbert_neutral_prob_mean_7d,287,0.0,0.49509180794996316,0.07836086181846594,0.25548904689583335,0.6692140052424242
validation,finbert_count_matches_sample_table_7d,287,0.0,1.0,0.0,1.0,1.0
validation,finbert_news_count_20d,287,0.0,151.09059233449477,78.82909824023228,49.0,404.0
validation,finbert_missing_20d,287,0.0,0.0,0.0,0.0,0.0
validation,finbert_unique_source_count_20d,287,0.0,14.560975609756097,3.9092337018611034,7.0,25.0
