run_seed,sample_index,Date,label,stage2_prob_up,film_prob_up,prob_up_delta,stage2_pred_class,film_pred_class,stage2_correct,film_correct,transition
42,993,2021-01-16T00:00:00,1,0.9201768040657043,0.9140971899032592,-0.006079614162445179,1,1,1,1,both_correct
42,994,2021-01-17T00:00:00,1,0.902242124080658,0.8949165940284729,-0.007325530052185059,1,1,1,1,both_correct
42,995,2021-01-18T00:00:00,1,0.9654307961463928,0.9625407457351683,-0.0028900504112244763,1,1,1,1,both_correct
42,996,2021-01-19T00:00:00,1,0.9884018301963806,0.9873402714729308,-0.001061558723449818,1,1,1,1,both_correct
42,997,2021-01-20T00:00:00,1,0.9764106869697572,0.974215805530548,-0.0021948814392092064,1,1,1,1,both_correct
42,998,2021-01-21T00:00:00,1,0.9594362378120422,0.9560034275054932,-0.0034328103065490723,1,1,1,1,both_correct
42,999,2021-01-22T00:00:00,1,0.9340828657150269,0.9289823770523072,-0.0051004886627196155,1,1,1,1,both_correct
42,1000,2021-01-23T00:00:00,1,0.8346430063247681,0.8235411047935486,-0.011101901531219482,1,1,1,1,both_correct
42,1001,2021-01-24T00:00:00,1,0.8748471140861511,0.8665217161178589,-0.008325397968292236,1,1,1,1,both_correct
42,1002,2021-01-25T00:00:00,1,0.8219761848449707,0.8108021020889282,-0.01117408275604248,1,1,1,1,both_correct
42,1003,2021-01-26T00:00:00,1,0.8249732255935669,0.8134459853172302,-0.01152724027633667,1,1,1,1,both_correct
42,1004,2021-01-27T00:00:00,1,0.8449066877365112,0.8352616429328918,-0.009645044803619385,1,1,1,1,both_correct
42,1005,2021-01-28T00:00:00,1,0.9415283203125,0.9375022649765016,-0.004026055335998424,1,1,1,1,both_correct
42,1006,2021-01-29T00:00:00,1,0.8666894435882568,0.8583579659461975,-0.008331477642059326,1,1,1,1,both_correct
42,1007,2021-01-30T00:00:00,1,0.96586012840271,0.9634979367256165,-0.002362191677093506,1,1,1,1,both_correct
42,1008,2021-01-31T00:00:00,1,0.8848336338996887,0.8777037262916565,-0.0071299076080322266,1,1,1,1,both_correct
42,1009,2021-02-01T00:00:00,1,0.6739941239356995,0.6581331491470337,-0.01586097478866577,1,1,1,1,both_correct
42,1010,2021-02-02T00:00:00,1,0.2951841950416565,0.2811002135276794,-0.014083981513977106,0,0,0,0,both_wrong
42,1011,2021-02-03T00:00:00,1,0.6013683080673218,0.584514319896698,-0.01685398817062378,1,1,1,1,both_correct
42,1012,2021-02-04T00:00:00,1,0.425405889749527,0.4075561463832855,-0.017849743366241455,0,0,0,0,both_wrong
42,1013,2021-02-05T00:00:00,1,0.6846031546592712,0.6693111658096313,-0.015291988849639893,1,1,1,1,both_correct
42,1014,2021-02-06T00:00:00,1,0.3136264383792877,0.2980335652828216,-0.01559287309646612,0,0,0,0,both_wrong
42,1015,2021-02-07T00:00:00,1,0.2053379267454147,0.1933194994926452,-0.012018427252769498,0,0,0,0,both_wrong
42,1016,2021-02-08T00:00:00,0,0.336354523897171,0.3204709589481354,-0.015883564949035645,0,0,1,1,both_correct
42,1017,2021-02-09T00:00:00,1,0.8828089833259583,0.8744217753410339,-0.008387207984924316,1,1,1,1,both_correct
42,1018,2021-02-10T00:00:00,1,0.7166042327880859,0.6982656121253967,-0.01833862066268921,1,1,1,1,both_correct
42,1019,2021-02-11T00:00:00,1,0.6636217832565308,0.6416327357292175,-0.021989047527313232,1,1,1,1,both_correct
42,1020,2021-02-12T00:00:00,1,0.2594457268714905,0.2401780784130096,-0.01926764845848089,0,0,0,0,both_wrong
42,1021,2021-02-13T00:00:00,1,0.7537656426429749,0.7335855960845947,-0.020180046558380127,1,1,1,1,both_correct
42,1022,2021-02-14T00:00:00,1,0.868824303150177,0.8561171293258667,-0.012707173824310303,1,1,1,1,both_correct
42,1023,2021-02-15T00:00:00,1,0.8641800880432129,0.8511720895767212,-0.0130079984664917,1,1,1,1,both_correct
42,1024,2021-02-16T00:00:00,1,0.8897313475608826,0.8794105052947998,-0.010320842266082764,1,1,1,1,both_correct
42,1025,2021-02-17T00:00:00,1,0.7707414627075195,0.7523215413093567,-0.018419921398162842,1,1,1,1,both_correct
42,1026,2021-02-18T00:00:00,1,0.9282475113868712,0.9210708737373352,-0.007176637649536022,1,1,1,1,both_correct
42,1027,2021-02-19T00:00:00,1,0.9118970036506652,0.9028794765472412,-0.009017527103423961,1,1,1,1,both_correct
42,1028,2021-02-20T00:00:00,1,0.6447481513023376,0.6201454997062683,-0.024602651596069336,1,1,1,1,both_correct
