news_date,news_count,positive_share,negative_share,neutral_share,sentiment_mean,sentiment_sum,confidence_mean
2019-11-10,4,0.0,0.0,1.0,-0.098152168375,-0.3926086735,0.7998927499999999
2019-11-11,7,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.047891885342857154,0.3352431974000001,0.7673820971428571
2019-11-12,4,0.25,0.0,0.75,0.16533967400000002,0.6613586960000001,0.8103929875
2019-11-13,4,0.0,0.0,1.0,0.03238215375,0.129528615,0.91410004
2019-11-14,6,0.3333333333333333,0.0,0.6666666666666666,0.30238530366666666,1.814311822,0.7984782683333332
2019-11-15,5,0.2,0.4,0.4,-0.13770692980000002,-0.688534649,0.9052790639999999
2019-11-16,3,0.0,0.0,1.0,0.011713109466666668,0.0351393284,0.9363497533333334
2019-11-17,3,0.0,0.0,1.0,0.04782472000000001,0.14347416000000002,0.91297418
2019-11-18,4,0.25,0.0,0.75,0.15228694099999998,0.6091477639999999,0.8012749275
2019-11-19,5,0.4,0.2,0.4,0.082288344,0.41144172,0.72382764
2019-11-20,3,0.0,0.3333333333333333,0.6666666666666666,-0.25554842333333333,-0.7666452699999999,0.8842944199999999
2019-11-21,5,0.2,0.2,0.6,-0.08620913172000001,-0.43104565860000005,0.86341669
2019-11-22,11,0.0,0.8181818181818182,0.18181818181818182,-0.7195145571818181,-7.914660129,0.87880953
2019-11-23,1,0.0,0.0,1.0,0.08746317,0.08746317,0.8694952
2019-11-24,4,0.0,0.25,0.75,-0.23197515975,-0.927900639,0.91324845
2019-11-25,9,0.0,0.3333333333333333,0.6666666666666666,-0.24820519163333335,-2.2338467247000002,0.8867043611111112
2019-11-26,4,0.25,0.0,0.75,0.24719962100000004,0.9887984840000001,0.89190284
2019-11-27,9,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.032367670855555565,0.2913090377000001,0.9109283322222222
2019-11-28,8,0.25,0.0,0.75,0.23194447771249999,1.8555558216999999,0.86043740125
2019-11-29,4,0.25,0.25,0.5,-0.12758024725,-0.510320989,0.848605995
2019-11-30,1,0.0,0.0,1.0,0.006788641,0.006788641,0.9437754
2019-12-01,3,0.0,0.0,1.0,0.0023790984333333376,0.007137295300000013,0.88268602
2019-12-02,4,0.5,0.0,0.5,0.419584121,1.678336484,0.8584932725000001
2019-12-03,5,0.2,0.0,0.8,0.09403997299999999,0.47019986499999994,0.74189479
2019-12-04,4,0.5,0.0,0.5,0.24057126350000002,0.9622850540000001,0.70691351
2019-12-05,10,0.0,0.3,0.7,-0.27027401865,-2.7027401865,0.843522157
2019-12-06,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.04489922533333333,-0.269395352,0.827377745
2019-12-07,2,0.0,0.5,0.5,-0.276069406,-0.552138812,0.8526083
2019-12-08,2,0.0,0.0,1.0,-0.0038427255000000006,-0.007685451000000001,0.9347382500000001
2019-12-09,6,0.0,0.16666666666666666,0.8333333333333334,-0.05228246658333332,-0.3136947994999999,0.84962025
2019-12-10,7,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.03093500618571429,0.21654504330000002,0.7411497442857142
2019-12-11,10,0.2,0.1,0.7,0.10236117533399999,1.02361175334,0.884656029
2019-12-12,5,0.0,0.0,1.0,-0.01816255256,-0.0908127628,0.841182514
2019-12-13,5,0.0,0.4,0.6,-0.295894908,-1.47947454,0.885925358
2019-12-14,1,0.0,0.0,1.0,-0.007671496,-0.007671496,0.9384082
2019-12-15,2,0.0,0.0,1.0,0.01801847857435,0.0360369571487,0.91744695
2019-12-16,6,0.3333333333333333,0.0,0.6666666666666666,0.2677109442666667,1.6062656656,0.83956321
2019-12-17,6,0.3333333333333333,0.16666666666666666,0.5,0.10902314166666666,0.6541388499999999,0.7961311383333333
2019-12-18,4,0.25,0.25,0.5,0.010826062269999992,0.04330424907999997,0.9234516375
2019-12-19,6,0.5,0.16666666666666666,0.3333333333333333,0.24859245500000002,1.49155473,0.8224964966666667
2019-12-20,4,0.5,0.0,0.5,0.36661924749999997,1.4664769899999999,0.775504545
2019-12-21,2,0.5,0.0,0.5,0.3814246325,0.762849265,0.8493391
2019-12-22,2,0.0,0.0,1.0,0.0724115055,0.144823011,0.8837701
2019-12-23,9,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.2161666441111111,1.945499797,0.79710014
2019-12-24,1,0.0,1.0,0.0,-0.8567573,-0.8567573,0.8749908
2019-12-27,1,1.0,0.0,0.0,0.79065883,0.79065883,0.80444026
2019-12-29,2,0.0,0.5,0.5,-0.12095311499999997,-0.24190622999999994,0.54788229
2019-12-30,1,0.0,0.0,1.0,0.0027261712,0.0027261712,0.9508539
2019-12-31,1,0.0,1.0,0.0,-0.9152285,-0.9152285,0.9290049
2020-01-01,1,0.0,0.0,1.0,-0.23529907,-0.23529907,0.7084284
2020-01-02,8,0.125,0.5,0.375,-0.33518280425,-2.681462434,0.8842064975
2020-01-03,6,0.5,0.3333333333333333,0.16666666666666666,0.2760876783333333,1.65652607,0.7360121083333334
2020-01-06,5,0.4,0.0,0.6,0.18564607900000002,0.928230395,0.714203892
2020-01-07,4,0.75,0.0,0.25,0.535085475,2.1403419,0.791384065
2020-01-08,8,0.5,0.125,0.375,0.36721788625,2.93774309,0.8190239850000001
2020-01-09,4,0.5,0.5,0.0,-0.007053067499999982,-0.028212269999999928,0.817843345
2020-01-10,4,0.75,0.25,0.0,0.27468555499999997,1.0987422199999999,0.8336064625
2020-01-11,2,0.0,0.0,1.0,-0.014879444,-0.029758888,0.88747665
2020-01-12,1,0.0,0.0,1.0,-0.19019203,-0.19019203,0.7527975
2020-01-13,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.5057766394285714,3.540436476,0.8045679214285714
2020-01-14,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.01564162566666666,-0.09384975399999995,0.9107750733333333
2020-01-15,6,0.16666666666666666,0.3333333333333333,0.5,-0.07828423000000002,-0.46970538000000017,0.869645205
2020-01-16,3,0.0,0.3333333333333333,0.6666666666666666,-0.22265113333333333,-0.6679534,0.7607197
2020-01-17,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.05657397783333334,0.339443867,0.7361301466666667
2020-01-18,2,0.5,0.0,0.5,0.608888145,1.21777629,0.79666712
2020-01-20,10,0.6,0.2,0.2,0.29148073319999995,2.9148073319999996,0.862312606
2020-01-21,10,0.1,0.0,0.9,0.08848217631,0.8848217630999999,0.870771907
2020-01-22,8,0.375,0.125,0.5,0.151879187375,1.215033499,0.77274106625
2020-01-23,6,0.3333333333333333,0.16666666666666666,0.5,0.15990519666666667,0.9594311799999999,0.7880519116666665
2020-01-24,6,0.0,0.5,0.5,-0.292969425,-1.75781655,0.7924910916666666
2020-01-25,1,0.0,0.0,1.0,-0.046609875,-0.046609875,0.8858244
2020-01-27,10,0.5,0.2,0.3,0.24865372900000002,2.4865372900000002,0.80764518
2020-01-28,7,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.05091327571428572,0.35639293000000005,0.8471892371428572
2020-01-29,5,0.4,0.4,0.2,-0.01523083999999999,-0.07615419999999995,0.697932928
2020-01-30,4,0.75,0.0,0.25,0.5727677805,2.291071122,0.8420498000000001
2020-01-31,4,0.25,0.5,0.25,-0.01719767450000001,-0.06879069800000004,0.7751265350000001
2020-02-01,2,1.0,0.0,0.0,0.75498525,1.5099705,0.855688115
2020-02-02,1,1.0,0.0,0.0,0.8973068,0.8973068,0.9290879
2020-02-03,7,0.2857142857142857,0.0,0.7142857142857143,0.24854500300000001,1.739815021,0.8552096842857143
2020-02-04,5,0.4,0.4,0.2,0.03128071000000001,0.15640355000000006,0.825410868
2020-02-05,5,0.6,0.2,0.2,0.3668843946,1.834421973,0.748380212
2020-02-06,8,0.5,0.125,0.375,0.350597131,2.804777048,0.8172997175
2020-02-07,3,0.6666666666666666,0.3333333333333333,0.0,0.38918439000000005,1.1675531700000001,0.8524379400000001
2020-02-08,1,0.0,0.0,1.0,0.07566121,0.07566121,0.8972143
2020-02-09,2,0.5,0.0,0.5,0.28881906,0.57763812,0.72457877
2020-02-10,2,0.0,1.0,0.0,-0.728411475,-1.45682295,0.826737435
2020-02-11,3,0.3333333333333333,0.0,0.6666666666666666,0.27811709,0.83435127,0.7827893633333334
2020-02-12,2,0.0,0.5,0.5,-0.484722496,-0.969444992,0.94750508
2020-02-13,5,0.2,0.6,0.2,-0.346115072,-1.73057536,0.879286974
2020-02-14,4,0.5,0.0,0.5,0.472174246,1.888696984,0.8413783
2020-02-15,1,0.0,0.0,1.0,-0.00046054088,-0.00046054088,0.94355756
2020-02-17,5,0.0,1.0,0.0,-0.82869072,-4.1434536,0.8843522199999999
2020-02-18,2,0.5,0.0,0.5,0.309783502,0.619567004,0.792411025
2020-02-19,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.08284333333333331,0.24852999999999992,0.8851581300000001
2020-02-20,5,0.2,0.6,0.2,-0.4609696586,-2.304848293,0.85361545
2020-02-21,5,0.0,0.4,0.6,-0.10089915999999999,-0.5044957999999999,0.714171224
2020-02-24,4,0.0,0.5,0.5,-0.42374425925000003,-1.6949770370000001,0.9182084775
2020-02-25,4,0.0,0.5,0.5,-0.43576993325,-1.743079733,0.9129518125
2020-02-26,9,0.1111111111111111,0.4444444444444444,0.4444444444444444,-0.2660684772222222,-2.394616295,0.8764763955555556
2020-02-27,4,0.25,0.25,0.5,-0.1587737205,-0.635094882,0.8083232375
2020-02-28,4,0.25,0.5,0.25,-0.19226977250000002,-0.7690790900000001,0.8531000975
2020-02-29,1,0.0,1.0,0.0,-0.95003945,-0.95003945,0.9637233
2020-03-01,4,0.0,0.5,0.5,-0.47754980825,-1.910199233,0.9003032824999999
2020-03-02,5,0.2,0.4,0.4,-0.2652180212,-1.3260901059999999,0.8492778879999999
2020-03-03,5,0.4,0.4,0.2,-0.1295126734,-0.6475633670000001,0.845598742
2020-03-04,5,0.6,0.2,0.2,0.298720928,1.49360464,0.85678122
2020-03-05,11,0.6363636363636364,0.0,0.36363636363636365,0.45398482072727275,4.993833028,0.7803204045454546
2020-03-06,4,0.25,0.5,0.25,-0.027048942500000006,-0.10819577000000002,0.79122209
2020-03-07,1,0.0,1.0,0.0,-0.9489742,-0.9489742,0.96299356
2020-03-09,9,0.0,0.2222222222222222,0.7777777777777778,-0.14015427288888888,-1.261388456,0.8359528422222222
2020-03-10,2,0.5,0.5,0.0,-0.01466565000000003,-0.02933130000000006,0.875133965
2020-03-11,3,0.0,0.6666666666666666,0.3333333333333333,-0.46729229666666666,-1.40187689,0.8145588933333334
2020-03-12,6,0.0,0.6666666666666666,0.3333333333333333,-0.6489365683333334,-3.89361941,0.8935130683333333
2020-03-13,7,0.2857142857142857,0.5714285714285714,0.14285714285714285,-0.2760538522857143,-1.932376966,0.9158692328571428
2020-03-14,1,0.0,0.0,1.0,-0.027928637,-0.027928637,0.9223331
2020-03-15,1,0.0,1.0,0.0,-0.95208377,-0.95208377,0.9648282
2020-03-16,6,0.0,0.8333333333333334,0.16666666666666666,-0.6953482566666667,-4.17208954,0.8692920066666666
2020-03-18,2,0.0,0.5,0.5,-0.34943214499999997,-0.6988642899999999,0.8503477500000001
2020-03-19,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.004338732333333335,-0.013016197000000007,0.9328447066666667
2020-03-20,5,0.0,0.2,0.8,-0.19766026662,-0.9883013331,0.7683859679999999
2020-03-21,2,0.0,0.0,1.0,0.1942973635,0.388594727,0.76294583
2020-03-22,1,0.0,1.0,0.0,-0.5454355,-0.5454355,0.56589806
2020-03-23,6,0.16666666666666666,0.0,0.8333333333333334,0.06374231200000001,0.3824538720000001,0.8151208666666667
2020-03-24,4,0.5,0.25,0.25,0.11755129500000003,0.4702051800000001,0.790233435
2020-03-25,2,0.0,1.0,0.0,-0.82459903,-1.64919806,0.892352
2020-03-26,9,0.1111111111111111,0.4444444444444444,0.4444444444444444,-0.25380760766666666,-2.284268469,0.9045569988888889
2020-03-27,6,0.0,0.6666666666666666,0.3333333333333333,-0.6016813271666667,-3.610087963,0.8686022716666667
2020-03-28,3,0.0,0.6666666666666666,0.3333333333333333,-0.5355682073333333,-1.606704622,0.8878697533333333
2020-03-29,1,0.0,1.0,0.0,-0.95594907,-0.95594907,0.96735805
2020-03-30,9,0.0,0.3333333333333333,0.6666666666666666,-0.1909261257777778,-1.718335132,0.8439017955555556
2020-03-31,9,0.2222222222222222,0.3333333333333333,0.4444444444444444,-0.10553714426666667,-0.9498342984000001,0.8745185911111111
