split,feature,num_rows,raw_missing_rate,raw_mean,raw_std,normalized_mean,normalized_std,normalized_min,normalized_max
test,finbert_neutral_ratio_20d,1441,0.0,0.42956752508046403,0.07450752849061575,-1.1769067610006456,1.0421937310487892,-4.023978050686344,1.2169478361606896
test,finbert_confidence_mean_20d,1441,0.0,0.812672613987418,0.010636278341490182,-0.4329273679825852,0.6281694287877699,-2.206319434809615,1.2512700051134111
test,finbert_confidence_max_20d,1441,0.0,0.9718992564607911,0.002737342337304701,0.25986167512694913,0.7128247313694235,-3.711108425019004,1.3217370581643662
test,finbert_low_confidence_count_20d,1441,0.0,7.404580152671755,3.5387347793104813,0.7325746140492266,0.8945825435810579,-1.1392831430946067,3.6638652667311673
test,finbert_high_confidence_positive_count_20d,1441,0.0,41.37196391394865,15.136909941237498,2.461001807178337,1.5021144268763562,-0.15602555269814491,8.67590807913173
test,finbert_high_confidence_negative_count_20d,1441,0.0,40.72727272727273,18.324657513640993,1.221195425520462,1.4092566777057294,-1.6033132620934532,7.010039963501456
test,finbert_sentiment_mean_20d,1441,0.0,0.0575484687250338,0.10938935018673004,0.8539738662934597,1.0604243384111687,-2.0287360723438206,3.4820135971522994
test,finbert_sentiment_sum_20d,1441,0.0,12.98061290437503,26.045260744247773,1.1925997854594426,1.7712228042498368,-4.160238929145608,7.004203458168636
test,finbert_sentiment_std_20d,1441,0.0,0.579002007325254,0.04733309910396443,0.9078283618675063,1.0507391703777995,-2.0360123811748183,3.535280049659584
test,finbert_sentiment_abs_mean_20d,1441,0.0,0.4740543004473323,0.05038717363183617,1.0926953360243727,0.8915869283221833,-0.9793369374485826,3.649245059771948
test,finbert_confidence_weighted_sentiment_mean_20d,1441,0.0,0.04560072232412758,0.11772664617714676,0.7917747942704285,1.0750682828237192,-2.0883935553023774,3.3054121411786697
test,finbert_positive_prob_mean_20d,1441,0.0,0.3193769124877823,0.04958775109182213,1.3685500562913393,0.8463750505907576,-0.3650289435806178,3.997424590677141
test,finbert_negative_prob_mean_20d,1441,0.0,0.2618284438135534,0.07387301949732278,-0.13155947223550513,1.2284171774472148,-2.6823001498448655,3.726226916457929
test,finbert_neutral_prob_mean_20d,1441,0.0,0.4187946441667665,0.06217962789764234,-1.2291787277818205,1.057566284120838,-4.063093508406325,0.9875179318079562
test,finbert_news_count_60d,1441,0.0,695.5780707841776,181.73136305699762,1.3573091533011985,0.9089412622469948,-0.766245752628422,3.3950564984987834
test,finbert_unique_source_count_60d,1441,0.0,39.38167938931298,6.063856147545428,3.7702180319364405,1.361162080900806,0.9908855292309056,6.602669713177038
test,finbert_positive_count_60d,1441,0.0,210.24566273421235,51.493873801977585,2.782227809115625,1.1943150859180958,0.2948423505014234,6.557045004703399
test,finbert_negative_count_60d,1441,0.0,180.43372657876475,60.11667998380326,1.209273418864636,1.1012030381049245,-1.4730647380829351,4.223759253909003
test,finbert_neutral_count_60d,1441,0.0,304.8986814712006,106.48955081453782,0.7635963920458514,0.9521398682719511,-0.8717295638913061,2.677910046874719
test,finbert_positive_ratio_60d,1441,0.0,0.307437737836377,0.04403865306356083,1.6735822363615152,0.8316163039860415,-0.01576482145642629,3.7431698388610313
test,finbert_negative_ratio_60d,1441,0.0,0.2616062759501248,0.07090197363794994,-0.18291041653838444,1.3911332832222958,-2.9720128443989604,3.2393991170624705
test,finbert_neutral_ratio_60d,1441,0.0,0.4309559862134981,0.06473963936372744,-1.447336199942438,1.1815449542167749,-4.375922882576465,0.7047191048323537
test,finbert_confidence_mean_60d,1441,0.0,0.8128526179776852,0.005591282971359435,-0.5052640481502777,0.44109447321844186,-1.6916515650023913,0.7146602133456718
test,finbert_confidence_max_60d,1441,0.0,0.9738140206384456,0.0016011228255800316,-0.018521572139761418,0.8483898709081162,-3.4270389855753858,1.1275802459149153
test,finbert_low_confidence_count_60d,1441,0.0,21.990978487161694,7.707926592331058,0.8648026168750522,0.7892743107162743,-1.0798307778170328,3.42567005376438
test,finbert_high_confidence_positive_count_60d,1441,0.0,122.75850104094378,30.083736460397155,2.9653875256607036,1.2036258166092013,0.4144617793788795,6.975968332388434
test,finbert_high_confidence_negative_count_60d,1441,0.0,122.10617626648161,43.03535943517777,1.442215154919144,1.3217217067941545,-1.6015792078555466,5.308724038864785
test,finbert_sentiment_mean_60d,1441,0.0,0.055637134187621194,0.08411770319431855,1.1867437363807214,1.1090216737820828,-1.7525036547277095,3.845946646804598
test,finbert_sentiment_sum_60d,1441,0.0,37.265208848679706,56.95231605212948,1.6815464340727773,1.8024234674288258,-3.5879079188980967,6.186790945987152
test,finbert_sentiment_std_60d,1441,0.0,0.5823884347287185,0.03941322746861127,1.111460273204164,1.0885466751912094,-0.9285307413389741,3.617205826814296
test,finbert_sentiment_abs_mean_60d,1441,0.0,0.4731289046235954,0.04344125302843003,1.3512555405067206,0.984425685566858,-0.2862744134060421,3.8504379313250645
test,finbert_confidence_weighted_sentiment_mean_60d,1441,0.0,0.04342936158452392,0.08996705756061202,1.0959559771890532,1.1086149681832742,-1.8847908926665784,3.720149221664608
test,finbert_positive_prob_mean_60d,1441,0.0,0.31786580358943173,0.03455501794126739,1.7991836168867286,0.7841890655142788,0.19729227446569397,3.8048183409627616
test,finbert_negative_prob_mean_60d,1441,0.0,0.262228669450794,0.062127908564727136,-0.2410042082554349,1.3951280166808768,-3.198793811903168,3.19479076913119
test,finbert_neutral_prob_mean_60d,1441,0.0,0.4199055273773102,0.05506418538301307,-1.4970561335839707,1.2025761606152456,-4.443293763530117,0.5801783327488874
test,finbert_sentiment_mean_z_7d,1441,0.0,0.6498417557579097,1.0063315327760358,0.6498417557579095,1.0063315327760356,-2.807424274608884,2.9978649479760815
test,finbert_news_fg_proxy_7d,1441,0.0,69.60769175693088,28.544964683633534,0.5871994197980152,0.9076582829590292,-1.614607673584597,1.5457027119583064
test,finbert_weighted_sentiment_z_7d,1441,0.0,0.5690929426568085,1.0829436371352619,0.6134998001311651,1.029654214498693,-2.907588114660821,3.0459227799779236
test,finbert_weighted_news_fg_proxy_7d,1441,0.0,66.82311080288594,30.272978037999632,0.55850180854062,0.9533476167284456,-1.5399148422829831,1.5972599775986498
test,finbert_sentiment_mean_z_20d,1441,0.0,0.8539738662934597,1.0604243384111685,0.8539738662934601,1.0604243384111687,-2.0287360723438206,3.4820135971522994
test,finbert_news_fg_proxy_20d,1441,0.0,73.2458490672683,27.2141991146489,0.7297540633436629,0.8795613273599504,-1.5826077281124182,1.591394399440903
