bucket_family,bucket,n,stage2_acc,film_acc,delta_acc,corrections,regressions,net_corrections,correction_rate,regression_rate,net_correction_rate,changed_predictions,changed_prediction_rate,label_positive_rate,stage2_pred_up_rate,film_pred_up_rate,mean_stage2_prob_up,mean_film_prob_up,mean_prob_up_delta,mean_true_prob_delta
finbert_confidence_weighted_sentiment_mean_60d_q20_80,high_20pct,1445,0.6200692041522491,0.6249134948096886,0.004844290657439521,27,20,7,0.018685121107266434,0.01384083044982699,0.004844290657439446,47,0.032525951557093424,0.5674740484429066,0.7051903114186852,0.6726643598615917,0.6303264091506755,0.6094497829624114,-0.02087662618826413,-0.0023669166677344634
finbert_confidence_weighted_sentiment_mean_60d_q20_80,low_20pct,1445,0.5474048442906574,0.5467128027681661,-0.0006920415224912491,12,13,-1,0.008304498269896194,0.008996539792387544,-0.0006920415224913495,25,0.01730103806228374,0.5640138408304498,0.6636678200692041,0.6463667820069204,0.6000568005040443,0.5867273422879744,-0.01332945821606984,-0.001460874240497406
finbert_confidence_weighted_sentiment_mean_60d_q20_80,middle_60pct,4315,0.5763615295480881,0.5770567786790266,0.0006952491309385467,56,53,3,0.012977983777520278,0.012282734646581691,0.0006952491309385864,109,0.02526071842410197,0.5249130938586327,0.6509849362688297,0.6257242178447276,0.5863773341049998,0.5708526029403679,-0.015524731164631902,0.0002940121904309073
finbert_negative_ratio_20d_q20_80,high_20pct,1455,0.5333333333333333,0.5312714776632302,-0.0020618556701030855,12,15,-3,0.008247422680412371,0.010309278350515464,-0.002061855670103093,27,0.018556701030927835,0.5567010309278351,0.6577319587628866,0.6391752577319587,0.5876986384699026,0.5742527502252883,-0.013445888244614108,-0.001407527012104022
finbert_negative_ratio_20d_q20_80,low_20pct,1445,0.5930795847750865,0.6020761245674741,0.00899653979238757,35,22,13,0.02422145328719723,0.01522491349480969,0.008996539792387544,57,0.03944636678200692,0.5778546712802768,0.6844290657439447,0.6449826989619377,0.6146959703338291,0.5940912376225613,-0.020604732711267674,-0.0021463286698792643
finbert_negative_ratio_20d_q20_80,middle_60pct,4305,0.5902439024390244,0.5900116144018583,-0.00023228803716601742,48,49,-1,0.011149825783972125,0.011382113821138212,-0.00023228803716608595,97,0.022531939605110338,0.5238095238095238,0.6599303135888501,0.6373983739837399,0.5957688126615687,0.5801870703210451,-0.01558174234052356,0.000206016601603067
finbert_news_count_20d_q20_80,high_20pct,1455,0.5587628865979382,0.5608247422680412,0.0020618556701030855,29,26,3,0.01993127147766323,0.017869415807560136,0.002061855670103093,55,0.037800687285223365,0.44673539518900346,0.7106529209621993,0.672852233676976,0.6274208031748374,0.6053742685473662,-0.022046534627471134,0.0022908007847689286
finbert_news_count_20d_q20_80,low_20pct,1460,0.6267123287671232,0.6205479452054794,-0.006164383561643838,12,21,-9,0.00821917808219178,0.014383561643835616,-0.0061643835616438354,33,0.022602739726027398,0.7602739726027398,0.65,0.6273972602739726,0.5800083466410024,0.5682650011134882,-0.011743345527514154,-0.0051245892956240545
finbert_news_count_20d_q20_80,middle_60pct,4290,0.5701631701631702,0.5736596736596736,0.0034965034965034336,54,39,15,0.012587412587412588,0.00909090909090909,0.0034965034965034965,93,0.021678321678321677,0.4988344988344988,0.6536130536130537,0.6319347319347319,0.5940355430999749,0.5783726026369194,-0.015662940463055497,-2.650583471173827e-05
finbert_news_count_60d_q20_80,high_20pct,1450,0.5103448275862069,0.5144827586206897,0.004137931034482789,24,18,6,0.016551724137931035,0.012413793103448275,0.004137931034482759,42,0.028965517241379312,0.44482758620689655,0.7110344827586207,0.6820689655172414,0.6306119908430967,0.6109186408488915,-0.019693349994205148,0.0026302076837626007
finbert_news_count_60d_q20_80,low_20pct,1450,0.5420689655172414,0.5337931034482759,-0.008275862068965467,12,24,-12,0.008275862068965517,0.016551724137931035,-0.008275862068965517,36,0.02482758620689655,0.7586206896551724,0.6372413793103449,0.6124137931034482,0.5790469858127422,0.5659348990241515,-0.013112086788590563,-0.006253397959316602
finbert_news_count_60d_q20_80,middle_60pct,4305,0.6150987224157956,0.6185830429732869,0.0034843205574913716,59,44,15,0.013704994192799072,0.010220673635307782,0.003484320557491289,103,0.02392566782810685,0.5005807200929152,0.6578397212543554,0.6339140534262485,0.593290689538485,0.5772978617557682,-0.015992827782716715,0.00023022779067772666
finbert_news_count_7d_q20_80,high_20pct,1465,0.5658703071672355,0.5733788395904437,0.007508532423208147,33,22,11,0.022525597269624574,0.015017064846416382,0.007508532423208191,55,0.03754266211604096,0.45733788395904434,0.7194539249146757,0.6819112627986348,0.6337664856120894,0.611637276146599,-0.022129209465490223,0.0016873568970290477
finbert_news_count_7d_q20_80,low_20pct,1530,0.5777777777777777,0.5725490196078431,-0.005228758169934622,10,18,-8,0.006535947712418301,0.011764705882352941,-0.00522875816993464,28,0.018300653594771243,0.6895424836601307,0.6411764705882353,0.6228758169934641,0.5779088501861087,0.566015368499154,-0.011893481686954747,-0.0037029349178173197
finbert_news_count_7d_q20_80,middle_60pct,4210,0.584560570071259,0.5859857482185273,0.001425178147268391,52,46,6,0.012351543942992874,0.010926365795724466,0.0014251781472684087,98,0.02327790973871734,0.5166270783847982,0.6536817102137767,0.6304038004750594,0.5927442974840111,0.5771146803601002,-0.015629617123910998,-0.0002539151284020765
finbert_news_fg_proxy_20d_q20_80,high_20pct,1445,0.6325259515570935,0.6373702422145329,0.0048442906574394096,32,25,7,0.022145328719723183,0.01730103806228374,0.004844290657439446,57,0.03944636678200692,0.6089965397923875,0.714878892733564,0.6754325259515571,0.6284097671856826,0.6078794294059483,-0.02053033777973433,-0.003184603362192747
finbert_news_fg_proxy_20d_q20_80,low_20pct,1445,0.554325259515571,0.5494809688581315,-0.004844290657439521,10,17,-7,0.006920415224913495,0.011764705882352941,-0.004844290657439446,27,0.018685121107266434,0.5536332179930796,0.6920415224913494,0.673356401384083,0.6119331840528852,0.598359969053353,-0.013573214999532153,-0.0013339433651481955
finbert_news_fg_proxy_20d_q20_80,middle_60pct,4315,0.5698725376593279,0.5719582850521436,0.002085747392815751,53,44,9,0.012282734646581691,0.010196987253765933,0.002085747392815759,97,0.022479721900347624,0.5144843568945539,0.6382387022016223,0.6157589803012746,0.5830420324622048,0.5674829656780543,-0.015559066784150446,0.0005253313465404346
finbert_news_fg_proxy_60d_q20_80,high_20pct,1445,0.6214532871972318,0.6276816608996539,0.00622837370242213,28,19,9,0.019377162629757784,0.01314878892733564,0.006228373702422145,47,0.032525951557093424,0.5605536332179931,0.7065743944636678,0.6740484429065744,0.6310235312575906,0.610069621418793,-0.02095390983879768,-0.0020929676773845125
finbert_news_fg_proxy_60d_q20_80,low_20pct,1445,0.5570934256055363,0.5550173010380622,-0.0020761245674740803,12,15,-3,0.008304498269896194,0.010380622837370242,-0.0020761245674740486,27,0.018685121107266434,0.5743944636678201,0.6698961937716263,0.6512110726643598,0.6039421084533513,0.5905716000646868,-0.013370508388664434,-0.0018125509050478177
finbert_news_fg_proxy_60d_q20_80,middle_60pct,4315,0.5726535341830823,0.5733487833140208,0.0006952491309385467,55,52,3,0.012746234067207415,0.01205098493626883,0.0006952491309385864,107,0.024797219003476246,0.5237543453070683,0.6484356894553882,0.6236384704519119,0.5848427775740054,0.569357673842611,-0.01548510373139432,0.0003200415042709223
finbert_positive_ratio_20d_q20_80,high_20pct,1445,0.6269896193771626,0.62560553633218,-0.0013840830449826091,27,29,-2,0.018685121107266434,0.020069204152249134,-0.001384083044982699,56,0.03875432525951557,0.6747404844290658,0.71280276816609,0.6740484429065744,0.6272612264051157,0.6086959211548926,-0.018565305250223076,-0.005532081603075809
finbert_positive_ratio_20d_q20_80,low_20pct,1445,0.5259515570934256,0.5259515570934256,0.0,15,15,0,0.010380622837370242,0.010380622837370242,0.0,30,0.020761245674740483,0.5155709342560554,0.7058823529411765,0.6851211072664359,0.6245210587037373,0.6100169681554022,-0.014504090548335014,0.000333855075561877
finbert_positive_ratio_20d_q20_80,middle_60pct,4315,0.5812282734646582,0.5837775202780997,0.002549246813441486,53,42,11,0.012282734646581691,0.009733487833140209,0.0025492468134414832,95,0.0220162224797219,0.5052143684820394,0.6342989571263036,0.6122827346465817,0.5792112474233724,0.5633058638751144,-0.015905383548257893,0.0007529413839100685
finbert_sentiment_mean_20d_q20_80,high_20pct,1445,0.6325259515570935,0.6373702422145329,0.0048442906574394096,32,25,7,0.022145328719723183,0.01730103806228374,0.004844290657439446,57,0.03944636678200692,0.6089965397923875,0.714878892733564,0.6754325259515571,0.6284097671856826,0.6078794294059483,-0.02053033777973433,-0.003184603362192747
finbert_sentiment_mean_20d_q20_80,low_20pct,1445,0.554325259515571,0.5494809688581315,-0.004844290657439521,10,17,-7,0.006920415224913495,0.011764705882352941,-0.004844290657439446,27,0.018685121107266434,0.5536332179930796,0.6920415224913494,0.673356401384083,0.6119331840528852,0.598359969053353,-0.013573214999532153,-0.0013339433651481955
finbert_sentiment_mean_20d_q20_80,middle_60pct,4315,0.5698725376593279,0.5719582850521436,0.002085747392815751,53,44,9,0.012282734646581691,0.010196987253765933,0.002085747392815759,97,0.022479721900347624,0.5144843568945539,0.6382387022016223,0.6157589803012746,0.5830420324622048,0.5674829656780543,-0.015559066784150446,0.0005253313465404346
finbert_sentiment_mean_60d_q20_80,high_20pct,1445,0.6214532871972318,0.6276816608996539,0.00622837370242213,28,19,9,0.019377162629757784,0.01314878892733564,0.006228373702422145,47,0.032525951557093424,0.5605536332179931,0.7065743944636678,0.6740484429065744,0.6310235312575906,0.610069621418793,-0.02095390983879768,-0.0020929676773845125
finbert_sentiment_mean_60d_q20_80,low_20pct,1445,0.5570934256055363,0.5550173010380622,-0.0020761245674740803,12,15,-3,0.008304498269896194,0.010380622837370242,-0.0020761245674740486,27,0.018685121107266434,0.5743944636678201,0.6698961937716263,0.6512110726643598,0.6039421084533513,0.5905716000646868,-0.013370508388664434,-0.0018125509050478177
finbert_sentiment_mean_60d_q20_80,middle_60pct,4315,0.5726535341830823,0.5733487833140208,0.0006952491309385467,55,52,3,0.012746234067207415,0.01205098493626883,0.0006952491309385864,107,0.024797219003476246,0.5237543453070683,0.6484356894553882,0.6236384704519119,0.5848427775740054,0.569357673842611,-0.01548510373139432,0.0003200415042709223
finbert_sentiment_mean_7d_q20_80,high_20pct,1445,0.5847750865051903,0.5840830449826989,-0.0006920415224913601,24,25,-1,0.01660899653979239,0.01730103806228374,-0.0006920415224913495,49,0.033910034602076124,0.6055363321799307,0.7231833910034602,0.6892733564013841,0.6325019384260615,0.613066750867969,-0.019435187558092412,-0.0036349082256064715
finbert_sentiment_mean_7d_q20_80,low_20pct,1445,0.5813148788927336,0.5771626297577854,-0.0041522491349481605,10,16,-6,0.006920415224913495,0.011072664359861591,-0.004152249134948097,26,0.017993079584775088,0.5570934256055363,0.6380622837370242,0.6200692041522491,0.5791886619978607,0.5646263943488828,-0.014562267648977755,-0.0008490040137796675
finbert_sentiment_mean_7d_q20_80,middle_60pct,4315,0.5768250289687138,0.5805330243337196,0.0037079953650057673,61,45,16,0.014136732329084589,0.010428736964078795,0.0037079953650057938,106,0.024565469293163382,0.5144843568945539,0.6535341830822712,0.6289687137891078,0.5926370838937606,0.5770424873316672,-0.01559459656209336,0.0005137330070051641
